phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	baseline	pass	0			0.5147970960001658	0.512417	430080
warmup	1	0	2	fannkuch-redux	candidate	pass	0			0.46792597900002875	0.465955	438272
warmup	2	0	1	fannkuch-redux	candidate	pass	0			0.46788640999989184	0.466082	421888
warmup	2	0	2	fannkuch-redux	baseline	pass	0			0.5141528300000573	0.512279	434176
retained	3	1	1	fannkuch-redux	baseline	pass	0			0.5149927590000516	0.512506	438272
retained	3	1	2	fannkuch-redux	candidate	pass	0			0.46793735799997194	0.466049	438272
retained	4	2	1	fannkuch-redux	candidate	pass	0			0.4681214509998881	0.465994	438272
retained	4	2	2	fannkuch-redux	baseline	pass	0			0.5145864529999926	0.51251	421888
retained	5	3	1	fannkuch-redux	baseline	pass	0			0.5143537010001182	0.512569	430080
retained	5	3	2	fannkuch-redux	candidate	pass	0			0.46871080599999004	0.466099	430080
retained	6	4	1	fannkuch-redux	candidate	pass	0			0.46786153900006866	0.465877	438272
retained	6	4	2	fannkuch-redux	baseline	pass	0			0.5142892669998673	0.512216	434176
retained	7	5	1	fannkuch-redux	baseline	pass	0			0.5142717789999551	0.512275	425984
retained	7	5	2	fannkuch-redux	candidate	pass	0			0.4681501750001189	0.465873	430080
retained	8	6	1	fannkuch-redux	candidate	pass	0			0.46787661500002287	0.46592	434176
retained	8	6	2	fannkuch-redux	baseline	pass	0			0.5141683790000116	0.512156	417792
retained	9	7	1	fannkuch-redux	baseline	pass	0			0.5146725540000716	0.51253	438272
retained	9	7	2	fannkuch-redux	candidate	pass	0			0.4681546320000507	0.466134	421888
retained	10	8	1	fannkuch-redux	candidate	pass	0			0.46803036399978737	0.466083	421888
retained	10	8	2	fannkuch-redux	baseline	pass	0			0.5145528870000362	0.512286	438272
retained	11	9	1	fannkuch-redux	baseline	pass	0			0.5148537679999663	0.512659	425984
retained	11	9	2	fannkuch-redux	candidate	pass	0			0.4686911589999454	0.46646	434176
retained	12	10	1	fannkuch-redux	candidate	pass	0			0.46870777300000555	0.46637	434176
retained	12	10	2	fannkuch-redux	baseline	pass	0			0.5150207970000338	0.51255	425984
retained	13	11	1	fannkuch-redux	baseline	pass	0			0.5146862819999569	0.512347	442368
retained	13	11	2	fannkuch-redux	candidate	pass	0			0.4683835230000568	0.466072	438272
