phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	baseline	pass	0			0.2123247370000172	0.210622	421888
warmup	1	0	2	n-body	candidate	pass	0			0.20861854500003574	0.206838	417792
warmup	2	0	1	n-body	candidate	pass	0			0.20902050899985625	0.207089	442368
warmup	2	0	2	n-body	baseline	pass	0			0.21321133900005407	0.210921	446464
retained	3	1	1	n-body	baseline	pass	0			0.21339435300001242	0.210799	450560
retained	3	1	2	n-body	candidate	pass	0			0.2091002639999715	0.206903	524288
retained	4	2	1	n-body	candidate	pass	0			0.20884221500000422	0.20685	446464
retained	4	2	2	n-body	baseline	pass	0			0.21270301999993535	0.21069	524288
retained	5	3	1	n-body	baseline	pass	0			0.21279515800006266	0.210784	524288
retained	5	3	2	n-body	candidate	pass	0			0.20912113200006388	0.207222	450560
retained	6	4	1	n-body	candidate	pass	0			0.2091203160000532	0.206938	450560
retained	6	4	2	n-body	baseline	pass	0			0.21299732400007088	0.210684	524288
retained	7	5	1	n-body	baseline	pass	0			0.21273890900010883	0.210717	446464
retained	7	5	2	n-body	candidate	pass	0			0.20912238000005345	0.207196	446464
retained	8	6	1	n-body	candidate	pass	0			0.2091551089999939	0.206838	524288
retained	8	6	2	n-body	baseline	pass	0			0.21278199799985487	0.210869	524288
retained	9	7	1	n-body	baseline	pass	0			0.21297451500004172	0.210756	524288
retained	9	7	2	n-body	candidate	pass	0			0.20872913699986384	0.206849	524288
retained	10	8	1	n-body	candidate	pass	0			0.20903148900015367	0.207074	524288
retained	10	8	2	n-body	baseline	pass	0			0.21285111200018036	0.21088	524288
retained	11	9	1	n-body	baseline	pass	0			0.2128346629999669	0.210692	524288
retained	11	9	2	n-body	candidate	pass	0			0.20884691599985672	0.207067	524288
retained	12	10	1	n-body	candidate	pass	0			0.20890139799985263	0.207126	524288
retained	12	10	2	n-body	baseline	pass	0			0.21295468400012396	0.210896	524288
retained	13	11	1	n-body	baseline	pass	0			0.212840783999809	0.210691	524288
retained	13	11	2	n-body	candidate	pass	0			0.20934444299996358	0.206902	524288
