phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	baseline	pass	0			3.5976772540000184	3.594533	1216512
warmup	1	0	2	spectral-norm	candidate	pass	0			3.3299468640000214	3.327859	1220608
warmup	2	0	1	spectral-norm	candidate	pass	0			3.3274596449998626	3.325445	1191936
warmup	2	0	2	spectral-norm	baseline	pass	0			3.5997475850001592	3.59732	1200128
retained	3	1	1	spectral-norm	baseline	pass	0			3.598276328000111	3.596012	1204224
retained	3	1	2	spectral-norm	candidate	pass	0			3.328207433999978	3.326125	1224704
retained	4	2	1	spectral-norm	candidate	pass	0			3.3289250410000477	3.326409	1208320
retained	4	2	2	spectral-norm	baseline	pass	0			3.5950981040000443	3.592712	1216512
retained	5	3	1	spectral-norm	baseline	pass	0			3.597156224999935	3.594858	1224704
retained	5	3	2	spectral-norm	candidate	pass	0			3.331077827999934	3.329044	1228800
retained	6	4	1	spectral-norm	candidate	pass	0			3.3289169450001737	3.326297	1224704
retained	6	4	2	spectral-norm	baseline	pass	0			3.595954096000014	3.593671	1224704
retained	7	5	1	spectral-norm	baseline	pass	0			3.596054517000084	3.593432	1224704
retained	7	5	2	spectral-norm	candidate	pass	0			3.327477888999965	3.325041	1200128
retained	8	6	1	spectral-norm	candidate	pass	0			3.3272491119998904	3.325193	1204224
retained	8	6	2	spectral-norm	baseline	pass	0			3.5972663479999483	3.595067	1200128
retained	9	7	1	spectral-norm	baseline	pass	0			3.5986107549999815	3.595037	1359872
retained	9	7	2	spectral-norm	candidate	pass	0			3.327611867000087	3.32559	1363968
retained	10	8	1	spectral-norm	candidate	pass	0			3.3312967009999284	3.328988	1200128
retained	10	8	2	spectral-norm	baseline	pass	0			3.5973754440001358	3.59514	1200128
retained	11	9	1	spectral-norm	baseline	pass	0			3.599474986000132	3.597155	1220608
retained	11	9	2	spectral-norm	candidate	pass	0			3.331934057000126	3.32982	1380352
retained	12	10	1	spectral-norm	candidate	pass	0			3.32917545600003	3.326832	1368064
retained	12	10	2	spectral-norm	baseline	pass	0			3.5982243819998985	3.595925	1363968
retained	13	11	1	spectral-norm	baseline	pass	0			3.5952062220001153	3.592175	1200128
retained	13	11	2	spectral-norm	candidate	pass	0			3.3318909419999727	3.329576	1204224
