phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.85,41451520,0
warmup,1,2,candidate,b2-b3,1.79,41287680,0
warmup,1,1,baseline,b3-b4,1.84,41353216,0
warmup,1,2,candidate,b3-b4,1.71,41304064,0
warmup,2,1,candidate,b2-b3,1.77,41091072,0
warmup,2,2,baseline,b2-b3,1.93,41222144,0
warmup,2,1,candidate,b3-b4,2.00,41058304,0
warmup,2,2,baseline,b3-b4,2.17,41287680,0
retained,1,1,baseline,b2-b3,2.09,41156608,0
retained,1,2,candidate,b2-b3,2.10,41172992,0
retained,1,1,baseline,b3-b4,2.36,41336832,0
retained,1,2,candidate,b3-b4,2.26,41287680,0
retained,2,1,candidate,b2-b3,2.37,41402368,0
retained,2,2,baseline,b2-b3,2.36,41320448,0
retained,2,1,candidate,b3-b4,2.19,41238528,0
retained,2,2,baseline,b3-b4,2.42,41320448,0
retained,3,1,baseline,b2-b3,2.15,41385984,0
retained,3,2,candidate,b2-b3,2.16,41353216,0
retained,3,1,baseline,b3-b4,2.27,40927232,0
retained,3,2,candidate,b3-b4,2.30,41254912,0
retained,4,1,candidate,b2-b3,2.28,41156608,0
retained,4,2,baseline,b2-b3,2.26,41566208,0
retained,4,1,candidate,b3-b4,1.94,41320448,0
retained,4,2,baseline,b3-b4,1.99,41369600,0
retained,5,1,baseline,b2-b3,2.07,41189376,0
retained,5,2,candidate,b2-b3,1.84,41091072,0
retained,5,1,baseline,b3-b4,2.05,41287680,0
retained,5,2,candidate,b3-b4,2.06,41304064,0
retained,6,1,candidate,b2-b3,2.18,41172992,0
retained,6,2,baseline,b2-b3,2.32,41107456,0
retained,6,1,candidate,b3-b4,1.93,41156608,0
retained,6,2,baseline,b3-b4,2.18,41287680,0
retained,7,1,baseline,b2-b3,2.09,41484288,0
retained,7,2,candidate,b2-b3,2.07,41156608,0
retained,7,1,baseline,b3-b4,2.14,41156608,0
retained,7,2,candidate,b3-b4,1.92,40943616,0
