phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.22,64352256,0
warmup,1,2,candidate,b2-b3,1.19,64540672,0
warmup,1,1,baseline,b3-b4,1.19,64606208,0
warmup,1,2,candidate,b3-b4,1.19,64540672,0
warmup,2,1,candidate,b2-b3,1.19,64507904,0
warmup,2,2,baseline,b2-b3,1.22,64393216,0
warmup,2,1,candidate,b3-b4,1.16,64380928,0
warmup,2,2,baseline,b3-b4,1.24,64622592,0
retained,1,1,baseline,b2-b3,1.23,64520192,0
retained,1,2,candidate,b2-b3,1.19,64585728,0
retained,1,1,baseline,b3-b4,1.23,64491520,0
retained,1,2,candidate,b3-b4,1.16,64589824,0
retained,2,1,candidate,b2-b3,1.21,64593920,0
retained,2,2,baseline,b2-b3,1.19,64671744,0
retained,2,1,candidate,b3-b4,1.21,64552960,0
retained,2,2,baseline,b3-b4,1.22,64491520,0
retained,3,1,baseline,b2-b3,1.24,64491520,0
retained,3,2,candidate,b2-b3,1.21,64589824,0
retained,3,1,baseline,b3-b4,1.22,64389120,0
retained,3,2,candidate,b3-b4,1.16,64675840,0
retained,4,1,candidate,b2-b3,1.19,64720896,0
retained,4,2,baseline,b2-b3,1.24,64626688,0
retained,4,1,candidate,b3-b4,1.17,64552960,0
retained,4,2,baseline,b3-b4,1.22,64561152,0
retained,5,1,baseline,b2-b3,1.22,64491520,0
retained,5,2,candidate,b2-b3,1.19,64671744,0
retained,5,1,baseline,b3-b4,1.24,64413696,0
retained,5,2,candidate,b3-b4,1.17,64733184,0
retained,6,1,candidate,b2-b3,1.16,64507904,0
retained,6,2,baseline,b2-b3,1.22,64491520,0
retained,6,1,candidate,b3-b4,1.16,64540672,0
retained,6,2,baseline,b3-b4,1.23,64479232,0
retained,7,1,baseline,b2-b3,1.19,64462848,0
retained,7,2,candidate,b2-b3,1.16,64536576,0
retained,7,1,baseline,b3-b4,1.22,64364544,0
retained,7,2,candidate,b3-b4,1.21,64585728,0
