phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.554094041,1.51192,40517632,0,True
warmup,1,2,candidate,1.605927709,1.5789009999999999,40108032,0,True
warmup,2,1,candidate,1.590728333,1.570264,40222720,0,True
warmup,2,2,baseline,1.515907708,1.499884,40304640,0,True
retained,1,1,baseline,1.501583792,1.486464,40419328,0,True
retained,1,2,candidate,1.607698833,1.5815700000000001,40058880,0,True
retained,2,1,candidate,1.590325125,1.569997,40271872,0,True
retained,2,2,baseline,1.500584584,1.481358,40517632,0,True
retained,3,1,baseline,1.505510542,1.493074,40271872,0,True
retained,3,2,candidate,1.583444292,1.567745,40058880,0,True
retained,4,1,candidate,1.583421166,1.5733979999999999,40370176,0,True
retained,4,2,baseline,1.514905208,1.497506,40173568,0,True
retained,5,1,baseline,1.498060625,1.476905,39960576,0,True
retained,5,2,candidate,1.58219675,1.568117,40009728,0,True
retained,6,1,candidate,1.580033792,1.5663049999999998,40075264,0,True
retained,6,2,baseline,1.505605875,1.487649,40681472,0,True
retained,7,1,baseline,1.50244825,1.489487,40402944,0,True
retained,7,2,candidate,1.59085575,1.571985,40304640,0,True
