phase,round,order,role,wallSeconds,cpuSeconds,peakRssBytes,exitStatus,outputStatus,stdout,stderr
warmup,1,1,baseline,2.725251958,2.345822,2605056,0,pass,warmup-01-order-1-baseline.stdout,warmup-01-order-1-baseline.stderr
warmup,1,2,candidate,2.994056708,2.617555,2670592,0,pass,warmup-01-order-2-candidate.stdout,warmup-01-order-2-candidate.stderr
warmup,2,1,baseline,2.375590875,2.341507,2441216,0,pass,warmup-02-order-1-baseline.stdout,warmup-02-order-1-baseline.stderr
warmup,2,2,candidate,2.590989666,2.572804,2424832,0,pass,warmup-02-order-2-candidate.stdout,warmup-02-order-2-candidate.stderr
retained,1,1,baseline,2.356465833,2.3360980000000002,2523136,0,pass,retained-01-order-1-baseline.stdout,retained-01-order-1-baseline.stderr
retained,1,2,candidate,2.586951042,2.56962,2424832,0,pass,retained-01-order-2-candidate.stdout,retained-01-order-2-candidate.stderr
retained,2,1,candidate,2.585535583,2.566563,2408448,0,pass,retained-02-order-1-candidate.stdout,retained-02-order-1-candidate.stderr
retained,2,2,baseline,2.34296225,2.328839,2441216,0,pass,retained-02-order-2-baseline.stdout,retained-02-order-2-baseline.stderr
retained,3,1,baseline,2.351257667,2.336083,2441216,0,pass,retained-03-order-1-baseline.stdout,retained-03-order-1-baseline.stderr
retained,3,2,candidate,2.602726958,2.574666,2572288,0,pass,retained-03-order-2-candidate.stdout,retained-03-order-2-candidate.stderr
retained,4,1,candidate,2.6001615,2.573635,2441216,0,pass,retained-04-order-1-candidate.stdout,retained-04-order-1-candidate.stderr
retained,4,2,baseline,2.347860709,2.333326,2424832,0,pass,retained-04-order-2-baseline.stdout,retained-04-order-2-baseline.stderr
retained,5,1,baseline,2.35470375,2.338275,2523136,0,pass,retained-05-order-1-baseline.stdout,retained-05-order-1-baseline.stderr
retained,5,2,candidate,2.594206208,2.569668,2408448,0,pass,retained-05-order-2-candidate.stdout,retained-05-order-2-candidate.stderr
retained,6,1,candidate,2.612075667,2.578535,2473984,0,pass,retained-06-order-1-candidate.stdout,retained-06-order-1-candidate.stderr
retained,6,2,baseline,2.347364208,2.328637,2441216,0,pass,retained-06-order-2-baseline.stdout,retained-06-order-2-baseline.stderr
retained,7,1,baseline,2.357176625,2.3379779999999997,2441216,0,pass,retained-07-order-1-baseline.stdout,retained-07-order-1-baseline.stderr
retained,7,2,candidate,2.582666833,2.566426,2424832,0,pass,retained-07-order-2-candidate.stdout,retained-07-order-2-candidate.stderr
