phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.511474916,1.499478,40271872,0,True
warmup,1,2,candidate,1.589605416,1.562559,40042496,0,True
warmup,2,1,candidate,1.584669084,1.56457,40124416,0,True
warmup,2,2,baseline,1.506997291,1.484131,40157184,0,True
retained,1,1,baseline,1.507954166,1.488797,40009728,0,True
retained,1,2,candidate,1.588117,1.566238,40222720,0,True
retained,2,1,candidate,1.575466125,1.556991,40058880,0,True
retained,2,2,baseline,1.5061125,1.4886270000000001,40239104,0,True
retained,3,1,baseline,1.499253709,1.485279,40075264,0,True
retained,3,2,candidate,1.592298417,1.57274,40501248,0,True
retained,4,1,candidate,1.584054917,1.568241,40042496,0,True
retained,4,2,baseline,1.50424,1.4905789999999999,40370176,0,True
retained,5,1,baseline,1.505664125,1.483876,40206336,0,True
retained,5,2,candidate,1.574170667,1.564676,40124416,0,True
retained,6,1,candidate,1.58251375,1.554332,40534016,0,True
retained,6,2,baseline,1.510690917,1.501725,40517632,0,True
retained,7,1,baseline,1.518481958,1.502229,40124416,0,True
retained,7,2,candidate,1.586778958,1.572916,40009728,0,True
