stage,phase,iteration,order,compiler,source,wall,cpu,rss,status,valid,sha256
check,warmup,0,0,baseline,baseline,0.368267042,0.358757,26263552,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,0,1,baseline,candidate,0.394329041,0.38101599999999997,27525120,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,0,2,candidate,baseline,0.377270459,0.36605799999999994,26460160,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,0,3,candidate,candidate,0.398009958,0.38417599999999996,27656192,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,1,0,baseline,baseline,0.372788541,0.36094899999999996,26247168,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,1,1,candidate,candidate,0.398869459,0.38504199999999994,27639808,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,1,2,candidate,baseline,0.373070625,0.362771,26411008,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,warmup,1,3,baseline,candidate,0.396099,0.386342,27492352,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,2,0,candidate,baseline,0.371734167,0.36216699999999996,26492928,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,2,1,candidate,candidate,0.403247917,0.38988199999999995,27688960,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,2,2,baseline,baseline,0.368663125,0.35876699999999995,26247168,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,2,3,baseline,candidate,0.389512792,0.379311,27656192,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,3,0,candidate,baseline,0.380821833,0.365053,26509312,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,3,1,baseline,candidate,0.395691833,0.38301399999999997,27475968,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,3,2,baseline,baseline,0.37204,0.36214599999999997,26230784,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,3,3,candidate,candidate,0.391588334,0.381055,27672576,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,4,0,baseline,baseline,0.372221875,0.358911,26230784,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,4,1,baseline,candidate,0.389729833,0.379741,27492352,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,4,2,candidate,baseline,0.37258725,0.363295,26443776,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,4,3,candidate,candidate,0.396954292,0.384551,27672576,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,5,0,baseline,baseline,0.3732075,0.36361299999999996,26247168,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,5,1,candidate,candidate,0.39431875,0.382725,27623424,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,5,2,candidate,baseline,0.386174,0.372601,26443776,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,5,3,baseline,candidate,0.395780333,0.384437,27475968,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,6,0,candidate,baseline,0.403588833,0.37854299999999996,26492928,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,6,1,candidate,candidate,0.394467916,0.383939,27672576,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,6,2,baseline,baseline,0.376122917,0.359202,26214400,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,6,3,baseline,candidate,0.392128417,0.380582,27705344,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,7,0,candidate,baseline,0.380297875,0.369423,26492928,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,7,1,baseline,candidate,0.390223583,0.380739,27508736,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,7,2,baseline,baseline,0.379896167,0.364325,26279936,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,7,3,candidate,candidate,0.390983459,0.380986,27639808,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,8,0,baseline,baseline,0.373104666,0.36062799999999995,26476544,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,8,1,baseline,candidate,0.400547125,0.387161,27475968,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,8,2,candidate,baseline,0.372559667,0.362382,26476544,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
check,retained,8,3,candidate,candidate,0.399955167,0.388923,27672576,0,True,dc51b8c96c2d745df3bd5590d990230a482fd247123599548e0632fdbf97fc22
emit-qbe,warmup,0,0,baseline,baseline,0.592606375,0.580215,29753344,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,0,1,baseline,candidate,0.624145083,0.60934,31408128,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,warmup,0,2,candidate,baseline,0.594271417,0.580758,29982720,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,0,3,candidate,candidate,0.62741225,0.614873,31866880,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,warmup,1,0,baseline,baseline,0.596394708,0.583642,29818880,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,1,1,candidate,candidate,0.632634708,0.6162989999999999,32161792,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
emit-qbe,warmup,1,2,candidate,baseline,0.595939333,0.5816669999999999,30015488,0,True,1bf132e5a2596f483cb87ee3be4f72eb838bb6e77221787039e72b0adf7ba8ba
emit-qbe,warmup,1,3,baseline,candidate,0.638443167,0.610986,31490048,0,True,6151a1f89115cf59e6ed535fbed907d016b281d936c5764819e1f1965ed001dd
