phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.526050333,1.4970189999999999,40058880,0,True
warmup,1,2,candidate,1.614989167,1.574723,40321024,0,True
warmup,2,1,candidate,1.588248542,1.576374,40026112,0,True
warmup,2,2,baseline,1.520749791,1.490037,40108032,0,True
retained,1,1,baseline,1.509118708,1.480207,40222720,0,True
retained,1,2,candidate,1.605305958,1.580077,40124416,0,True
retained,2,1,candidate,1.595551791,1.580952,40452096,0,True
retained,2,2,baseline,1.522077666,1.502039,40304640,0,True
retained,3,1,baseline,1.512133875,1.484916,39960576,0,True
retained,3,2,candidate,1.597501666,1.587343,40353792,0,True
retained,4,1,candidate,1.595723166,1.57289,39763968,0,True
retained,4,2,baseline,1.55674375,1.5148709999999999,40288256,0,True
retained,5,1,baseline,1.515346416,1.504415,39878656,0,True
retained,5,2,candidate,1.593991125,1.567488,39845888,0,True
retained,6,1,candidate,1.566735333,1.5433279999999998,40124416,0,True
retained,6,2,baseline,1.532517292,1.495862,40550400,0,True
retained,7,1,baseline,1.504960416,1.488065,40419328,0,True
retained,7,2,candidate,1.637435375,1.617387,39927808,0,True
