phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.511158875,1.4882749999999998,40353792,0,True
warmup,1,2,candidate,1.581428667,1.5847419999999999,40402944,0,True
warmup,2,1,candidate,1.583481583,1.5581170000000002,40058880,0,True
warmup,2,2,baseline,1.495842458,1.492243,40124416,0,True
retained,1,1,baseline,1.50953375,1.487926,40321024,0,True
retained,1,2,candidate,1.582486792,1.580691,40091648,0,True
retained,2,1,candidate,1.59058875,1.56959,40943616,0,True
retained,2,2,baseline,1.505264833,1.487981,40747008,0,True
retained,3,1,baseline,1.506590875,1.499473,40452096,0,True
retained,3,2,candidate,1.578714125,1.5576889999999999,40206336,0,True
retained,4,1,candidate,1.593015625,1.570652,40517632,0,True
retained,4,2,baseline,1.499336916,1.479225,40222720,0,True
retained,5,1,baseline,1.501568209,1.492297,40501248,0,True
retained,5,2,candidate,1.607231208,1.581416,40239104,0,True
retained,6,1,candidate,1.594234,1.575242,40435712,0,True
retained,6,2,baseline,1.507213458,1.494601,40534016,0,True
retained,7,1,baseline,1.526491042,1.4964559999999998,40157184,0,True
retained,7,2,candidate,1.59486325,1.5702790000000002,40321024,0,True
