phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.499840917,1.488667,40271872,0,True
warmup,1,2,candidate,1.598101167,1.5746129999999998,40468480,0,True
warmup,2,1,candidate,1.595133333,1.584176,40452096,0,True
warmup,2,2,baseline,1.513511708,1.496533,40386560,0,True
retained,1,1,baseline,1.49852,1.4793720000000001,40534016,0,True
retained,1,2,candidate,1.594930959,1.576325,40632320,0,True
retained,2,1,candidate,1.595314375,1.581338,40435712,0,True
retained,2,2,baseline,1.500222958,1.484991,40484864,0,True
retained,3,1,baseline,1.498527625,1.487786,40370176,0,True
retained,3,2,candidate,1.598213042,1.580628,40435712,0,True
retained,4,1,candidate,1.589514875,1.57762,40632320,0,True
retained,4,2,baseline,1.513086417,1.491384,40484864,0,True
retained,5,1,baseline,1.505537875,1.5003000000000002,40271872,0,True
retained,5,2,candidate,1.592596917,1.5808049999999998,40288256,0,True
retained,6,1,candidate,1.597420042,1.585998,40321024,0,True
retained,6,2,baseline,1.505473083,1.486898,40583168,0,True
retained,7,1,baseline,1.527667958,1.5030789999999998,40419328,0,True
retained,7,2,candidate,1.605641875,1.5841129999999999,39927808,0,True
