phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.494487083,1.483821,40108032,0,True
warmup,1,2,candidate,1.608982417,1.583703,40271872,0,True
warmup,2,1,candidate,1.593521542,1.5803539999999998,40386560,0,True
warmup,2,2,baseline,1.49790975,1.4851949999999998,40370176,0,True
retained,1,1,baseline,1.4944925,1.474866,40108032,0,True
retained,1,2,candidate,1.589924667,1.575893,39993344,0,True
retained,2,1,candidate,1.589446542,1.5742340000000001,40353792,0,True
retained,2,2,baseline,1.492895792,1.484671,40632320,0,True
retained,3,1,baseline,1.516163416,1.489606,40157184,0,True
retained,3,2,candidate,1.596298834,1.586681,40435712,0,True
retained,4,1,candidate,1.673513084,1.60167,40108032,0,True
retained,4,2,baseline,1.494139875,1.4760339999999998,40321024,0,True
retained,5,1,baseline,1.5194585,1.478323,40353792,0,True
retained,5,2,candidate,1.61372275,1.573254,40402944,0,True
retained,6,1,candidate,1.60220575,1.587907,40337408,0,True
retained,6,2,baseline,1.51094575,1.494218,40550400,0,True
retained,7,1,baseline,1.507553167,1.481848,40353792,0,True
retained,7,2,candidate,1.595553208,1.595418,40550400,0,True
