phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.512082375,1.4975679999999998,40648704,0,True
warmup,1,2,candidate,1.584062916,1.566208,40697856,0,True
warmup,2,1,candidate,1.5973245,1.582405,40714240,0,True
warmup,2,2,baseline,1.504292583,1.487736,40370176,0,True
retained,1,1,baseline,1.5014045,1.48909,40157184,0,True
retained,1,2,candidate,1.579542208,1.5690769999999998,40321024,0,True
retained,2,1,candidate,1.58170875,1.56717,40599552,0,True
retained,2,2,baseline,1.505577625,1.487187,40173568,0,True
retained,3,1,baseline,1.49280275,1.4911439999999998,40009728,0,True
retained,3,2,candidate,1.595720084,1.5643880000000001,40353792,0,True
retained,4,1,candidate,1.577056875,1.5462710000000002,40206336,0,True
retained,4,2,baseline,1.542757792,1.491983,40271872,0,True
retained,5,1,baseline,1.501436542,1.48725,40157184,0,True
retained,5,2,candidate,1.58620675,1.5643,40763392,0,True
retained,6,1,candidate,1.589465416,1.5696590000000001,40337408,0,True
retained,6,2,baseline,1.519364791,1.502017,40796160,0,True
retained,7,1,baseline,1.515399959,1.494624,40157184,0,True
retained,7,2,candidate,1.573218833,1.564553,40484864,0,True
