phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.50204275,1.491794,40665088,0,True
warmup,1,2,candidate,1.590898875,1.569899,40583168,0,True
warmup,2,1,candidate,1.583056542,1.571386,40452096,0,True
warmup,2,2,baseline,1.505534041,1.4953489999999998,40255488,0,True
retained,1,1,baseline,1.50126175,1.482693,40255488,0,True
retained,1,2,candidate,1.584760875,1.5711389999999998,40222720,0,True
retained,2,1,candidate,1.677031542,1.613883,40370176,0,True
retained,2,2,baseline,1.506321958,1.487895,40419328,0,True
retained,3,1,baseline,1.502133167,1.485335,40484864,0,True
retained,3,2,candidate,1.582303583,1.56722,40402944,0,True
retained,4,1,candidate,1.589262833,1.5635080000000001,40665088,0,True
retained,4,2,baseline,1.521875584,1.498184,40386560,0,True
retained,5,1,baseline,1.511160959,1.503638,40140800,0,True
retained,5,2,candidate,1.582974334,1.579336,40304640,0,True
retained,6,1,candidate,1.593773292,1.5677629999999998,40747008,0,True
retained,6,2,baseline,1.558103292,1.509099,40402944,0,True
retained,7,1,baseline,1.512934667,1.478541,40370176,0,True
retained,7,2,candidate,1.59084975,1.5687929999999999,40402944,0,True
