phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.511945125,1.485904,40042496,0,True
warmup,1,2,candidate,1.5911835,1.57213,40091648,0,True
warmup,2,1,candidate,1.586259667,1.56137,40189952,0,True
warmup,2,2,baseline,1.517955625,1.49688,40058880,0,True
retained,1,1,baseline,1.506784583,1.493976,40009728,0,True
retained,1,2,candidate,1.592150792,1.5528229999999998,40288256,0,True
retained,2,1,candidate,1.598952708,1.5757560000000002,40337408,0,True
retained,2,2,baseline,1.501359458,1.4901579999999999,40222720,0,True
retained,3,1,baseline,1.499163209,1.48066,40009728,0,True
retained,3,2,candidate,1.584675,1.570487,40304640,0,True
retained,4,1,candidate,1.604053959,1.574828,40189952,0,True
retained,4,2,baseline,1.527796875,1.483701,40091648,0,True
retained,5,1,baseline,1.507945292,1.491615,40255488,0,True
retained,5,2,candidate,1.581405334,1.56943,40337408,0,True
retained,6,1,candidate,1.595404375,1.5884,40419328,0,True
retained,6,2,baseline,1.491868625,1.477207,40255488,0,True
retained,7,1,baseline,1.518240625,1.4831779999999999,40157184,0,True
retained,7,2,candidate,1.586463583,1.572843,40239104,0,True
