phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.508090875,1.4972940000000001,40173568,0,True
warmup,1,2,candidate,1.521751792,1.488103,39878656,0,True
warmup,2,1,candidate,1.519584584,1.506999,40009728,0,True
warmup,2,2,baseline,1.649316834,1.5329579999999998,40255488,0,True
retained,1,1,baseline,1.501105583,1.490326,40157184,0,True
retained,1,2,candidate,1.513838542,1.493947,40566784,0,True
retained,2,1,candidate,1.51772775,1.494286,40189952,0,True
retained,2,2,baseline,1.499242125,1.485222,40222720,0,True
retained,3,1,baseline,1.502455625,1.486157,40042496,0,True
retained,3,2,candidate,1.527222083,1.510711,40189952,0,True
retained,4,1,candidate,1.523983291,1.500794,40173568,0,True
retained,4,2,baseline,1.511012125,1.4931489999999998,40108032,0,True
retained,5,1,baseline,1.507232625,1.492402,40321024,0,True
retained,5,2,candidate,1.506881792,1.491171,40091648,0,True
retained,6,1,candidate,1.512574208,1.4892299999999998,40157184,0,True
retained,6,2,baseline,1.502029,1.4981689999999999,40517632,0,True
retained,7,1,baseline,1.501711709,1.485489,40042496,0,True
retained,7,2,candidate,1.529716375,1.5077789999999998,40239104,0,True
