generation,group,case,status
b2,valid,array-aliases,pass
b2,valid,array-header-cache-invalidation,pass
b2,valid,boolean-conditions,pass
b2,valid,checked-binary-plan-controls,pass
b2,valid,contextual-expression-boundaries,pass
b2,valid,control-flow,pass
b2,valid,float-arrays,pass
b2,valid,float-scalars,pass
b2,valid,inline-result-budget,pass
b2,valid,integer-add-mir-guarded,pass
b2,valid,integer-array-reduction,pass
b2,valid,integer-literal-add-one-sided,pass
b2,valid,integer-multiply-fast-path,pass
b2,valid,integer-multiply-mir-guarded,pass
b2,valid,literal-string-concat,pass
b2,valid,managed-alias-roots,pass
b2,valid,managed-array-growth,pass
b2,valid,managed-parameter-keyword-strings,pass
b2,valid,managed-roots,pass
b2,valid,mutable-reference-bindings,pass
b2,valid,next-identifiers,pass
b2,valid,nonnegative-loop-index,pass
b2,valid,records-arrays,pass
b2,valid,safe-point-free-loop-roots,pass
b2,valid,scalar-array-growth,pass
b2,valid,scalar-leaf-inline,pass
b2,valid,stable-array-header-mir,pass
b2,valid,static-strings,pass
b2,valid,strings-calls,pass
b2,mutations,base,pass
b2,mutations,control,pass
b2,mutations,literal,pass
b2,invalid,arity,pass
b2,invalid,contextual-grouped-array-element,pass
b2,invalid,contextual-postfix-result,pass
b2,invalid,duplicate,pass
b2,invalid,float-array-element,pass
b2,invalid,float-array-immutable,pass
b2,invalid,float-array-invariance,pass
b2,invalid,float-array-method,pass
b2,invalid,float-malformed,pass
b2,invalid,float-method,pass
b2,invalid,float-narrowing,pass
b2,invalid,float-overflow,pass
b2,invalid,float-remainder,pass
b2,invalid,immutable-array-local,pass
b2,invalid,immutable-array-parameter,pass
b2,invalid,immutable-record-local,pass
b2,invalid,immutable-record-parameter,pass
b2,invalid,integer-range,pass
b2,invalid,lexical,pass
b2,invalid,next-binding,pass
b2,invalid,next-typed-binding,pass
b2,invalid,syntax,pass
b2,invalid,type,pass
b2,invalid,unresolved,pass
b2,invalid,unsupported-type,pass
b2,runtime-invalid,computed-argument-lower-overflow,pass
b2,runtime-invalid,contextual-grouped-overflow,pass
b2,runtime-invalid,contextual-grouped-zero-divisor,pass
b2,runtime-invalid,float-array-bounds,pass
b2,runtime-invalid,inline-result-lower-overflow,pass
b2,runtime-invalid,integer-add-mir-guarded-overflow,pass
b2,runtime-invalid,integer-array-negative-bounds,pass
b2,runtime-invalid,integer-array-reduction-overflow,pass
b2,runtime-invalid,integer-literal-add-one-sided-overflow,pass
b2,runtime-invalid,integer-multiply-fast-path-overflow,pass
b2,runtime-invalid,integer-multiply-mir-guarded-overflow,pass
b2,runtime-invalid,scalar-leaf-inline-overflow,pass
b2,runtime-invalid,stable-array-header-before-access,pass
b2,runtime-invalid,stable-array-header-decreasing-index,pass
b2,runtime-invalid,stable-array-header-extended-bound,pass
b3,valid,array-aliases,pass
b3,valid,array-header-cache-invalidation,pass
b3,valid,boolean-conditions,pass
b3,valid,checked-binary-plan-controls,pass
