phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.716779333,1.608036,40321024,0,True
warmup,1,2,candidate,1.800909333,1.510711,40288256,0,True
warmup,2,1,candidate,1.564124125,1.524133,40288256,0,True
warmup,2,2,baseline,1.594253834,1.497001,40566784,0,True
retained,1,1,baseline,1.506888,1.485174,40239104,0,True
retained,1,2,candidate,1.581430541,1.535615,40026112,0,True
retained,2,1,candidate,1.529547791,1.526052,39911424,0,True
retained,2,2,baseline,1.509580833,1.489267,40288256,0,True
retained,3,1,baseline,1.514660667,1.492002,40222720,0,True
retained,3,2,candidate,1.52549525,1.512665,40386560,0,True
retained,4,1,candidate,1.542508417,1.521844,40288256,0,True
retained,4,2,baseline,1.536409625,1.501768,40321024,0,True
retained,5,1,baseline,1.50690475,1.48867,39780352,0,True
retained,5,2,candidate,1.539572292,1.52582,40402944,0,True
retained,6,1,candidate,1.533484167,1.5184199999999999,40337408,0,True
retained,6,2,baseline,1.514081,1.50719,40108032,0,True
retained,7,1,baseline,1.512777167,1.492655,39944192,0,True
retained,7,2,candidate,1.595185416,1.5324,40124416,0,True
