phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.676488709,1.5496969999999999,40075264,0,True
warmup,1,2,candidate,1.67565,1.6258929999999998,40583168,0,True
warmup,2,1,candidate,1.658767041,1.6202960000000002,40206336,0,True
warmup,2,2,baseline,1.543780959,1.515766,39993344,0,True
retained,1,1,baseline,1.5304,1.49661,39895040,0,True
retained,1,2,candidate,1.654597459,1.6133089999999999,40206336,0,True
retained,2,1,candidate,1.660108458,1.6296970000000002,40222720,0,True
retained,2,2,baseline,1.572599416,1.527245,39960576,0,True
retained,3,1,baseline,1.554069292,1.515239,40140800,0,True
retained,3,2,candidate,1.657461458,1.632364,40304640,0,True
retained,4,1,candidate,1.657381333,1.6111550000000001,40288256,0,True
retained,4,2,baseline,1.546984,1.523928,40239104,0,True
retained,5,1,baseline,1.5243115,1.498225,39895040,0,True
retained,5,2,candidate,1.676322959,1.633757,40386560,0,True
retained,6,1,candidate,1.747132875,1.634411,40222720,0,True
retained,6,2,baseline,1.533225875,1.517324,39993344,0,True
retained,7,1,baseline,1.539327833,1.5124819999999999,39878656,0,True
retained,7,2,candidate,1.696268375,1.6508409999999998,39895040,0,True
