phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,0.007631625,0.001058,5947392,127,False
warmup,1,2,candidate,2.048231833,1.769266,39878656,0,True
warmup,2,1,candidate,1.661605042,1.618788,40337408,0,True
warmup,2,2,baseline,0.001943125,0.001294,5914624,127,False
retained,1,1,baseline,0.001646,0.0008799999999999999,5931008,127,False
retained,1,2,candidate,1.706166583,1.6470829999999999,40337408,0,True
retained,2,1,candidate,1.656742542,1.611935,40157184,0,True
retained,2,2,baseline,0.002176541,0.001437,5898240,127,False
retained,3,1,baseline,0.001888125,0.001075,5931008,127,False
retained,3,2,candidate,1.655329167,1.630501,40271872,0,True
retained,4,1,candidate,1.745635084,1.635754,39944192,0,True
retained,4,2,baseline,0.002118,0.001144,5931008,127,False
retained,5,1,baseline,0.001863459,0.001041,5931008,127,False
retained,5,2,candidate,1.790633875,1.6405859999999999,39944192,0,True
retained,6,1,candidate,1.745463292,1.630102,40386560,0,True
retained,6,2,baseline,0.001775458,0.001002,5931008,127,False
retained,7,1,baseline,0.0017375,0.000922,5947392,127,False
retained,7,2,candidate,1.640714083,1.614494,40173568,0,True
