phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,3.13902575,2.2160569999999997,40091648,0,True
warmup,1,2,candidate,3.6162935,2.581348,40239104,0,True
warmup,2,1,candidate,3.04415225,2.439466,40501248,0,True
warmup,2,2,baseline,1.841241334,1.675307,40402944,0,True
retained,1,1,baseline,1.668955042,1.5669659999999999,40009728,0,True
retained,1,2,candidate,1.903457583,1.6439620000000001,39960576,0,True
retained,2,1,candidate,1.876895208,1.629948,40026112,0,True
retained,2,2,baseline,1.757587542,1.597204,40026112,0,True
retained,3,1,baseline,1.896920458,1.65199,39829504,0,True
retained,3,2,candidate,2.9434925,1.945857,40058880,0,True
retained,4,1,candidate,1.905249958,1.668249,39845888,0,True
retained,4,2,baseline,1.756759584,1.631495,39878656,0,True
retained,5,1,baseline,1.70267925,1.602736,39944192,0,True
retained,5,2,candidate,1.881151458,1.684511,39993344,0,True
retained,6,1,candidate,1.817961416,1.656949,40353792,0,True
retained,6,2,baseline,1.702735208,1.582329,40370176,0,True
retained,7,1,baseline,1.684649416,1.5849849999999999,40452096,0,True
retained,7,2,candidate,1.738382375,1.616088,40304640,0,True
