cohort,phase,round,order,role,wall,cpu,rss,exitStatus,timedOut,outputStatus
spectral-norm-frozen-1,warmup,1,1,baseline,2.233524458,2.20777,2539520,0,False,pass
spectral-norm-frozen-1,warmup,1,2,candidate,2.19593075,2.1649879999999997,2490368,0,False,pass
spectral-norm-frozen-1,warmup,2,1,candidate,2.273740875,2.195919,2424832,0,False,pass
spectral-norm-frozen-1,warmup,2,2,baseline,2.260446334,2.219928,2441216,0,False,pass
spectral-norm-frozen-1,retained,1,1,baseline,2.253730125,2.215053,2408448,0,False,pass
spectral-norm-frozen-1,retained,1,2,candidate,2.218993083,2.174406,2441216,0,False,pass
spectral-norm-frozen-1,retained,2,1,candidate,2.241446542,2.181246,2424832,0,False,pass
spectral-norm-frozen-1,retained,2,2,baseline,2.352236042,2.2428869999999996,2424832,0,False,pass
spectral-norm-frozen-1,retained,3,1,baseline,3.002470667,2.371956,2637824,0,False,pass
spectral-norm-frozen-1,retained,3,2,candidate,2.26371675,2.1933789999999997,2490368,0,False,pass
spectral-norm-frozen-1,retained,4,1,candidate,2.889025833,2.323529,2588672,0,False,pass
spectral-norm-frozen-1,retained,4,2,baseline,2.416971125,2.280871,2490368,0,False,pass
spectral-norm-frozen-1,retained,5,1,baseline,3.286096417,2.33005,2572288,0,False,pass
spectral-norm-frozen-1,retained,5,2,candidate,2.336592083,2.2136859999999996,2523136,0,False,pass
spectral-norm-frozen-1,retained,6,1,candidate,2.270581708,2.19843,2490368,0,False,pass
spectral-norm-frozen-1,retained,6,2,baseline,2.341978083,2.239533,2441216,0,False,pass
spectral-norm-frozen-1,retained,7,1,baseline,2.271935583,2.224234,2424832,0,False,pass
spectral-norm-frozen-1,retained,7,2,candidate,2.3637055,2.181517,2539520,0,False,pass
spectral-norm-main-1,warmup,1,1,baseline,2.259450583,2.219253,2490368,0,False,pass
spectral-norm-main-1,warmup,1,2,candidate,2.297868291,2.191489,2441216,0,False,pass
spectral-norm-main-1,warmup,2,1,candidate,2.224003459,2.168865,2424832,0,False,pass
spectral-norm-main-1,warmup,2,2,baseline,2.2388545,2.207772,2441216,0,False,pass
spectral-norm-main-1,retained,1,1,baseline,2.28624075,2.232186,2490368,0,False,pass
spectral-norm-main-1,retained,1,2,candidate,2.196485209,2.16344,2441216,0,False,pass
spectral-norm-main-1,retained,2,1,candidate,2.296717875,2.176501,2605056,0,False,pass
spectral-norm-main-1,retained,2,2,baseline,2.288182541,2.2172769999999997,2424832,0,False,pass
spectral-norm-main-1,retained,3,1,baseline,2.283013875,2.207122,2473984,0,False,pass
spectral-norm-main-1,retained,3,2,candidate,2.211044458,2.158752,2441216,0,False,pass
spectral-norm-main-1,retained,4,1,candidate,2.198324541,2.157315,2441216,0,False,pass
spectral-norm-main-1,retained,4,2,baseline,2.232886917,2.200605,2441216,0,False,pass
spectral-norm-main-1,retained,5,1,baseline,2.228783083,2.198801,2408448,0,False,pass
spectral-norm-main-1,retained,5,2,candidate,2.192629542,2.1551910000000003,2441216,0,False,pass
spectral-norm-main-1,retained,6,1,candidate,2.3286355,2.1862310000000003,2424832,0,False,pass
spectral-norm-main-1,retained,6,2,baseline,2.33833725,2.217272,2539520,0,False,pass
spectral-norm-main-1,retained,7,1,baseline,2.234474042,2.201375,2408448,0,False,pass
spectral-norm-main-1,retained,7,2,candidate,2.234071042,2.169591,2441216,0,False,pass
spectral-norm-frozen-2,warmup,1,1,baseline,2.235932208,2.2019949999999997,2441216,0,False,pass
spectral-norm-frozen-2,warmup,1,2,candidate,2.230531542,2.175264,2424832,0,False,pass
spectral-norm-frozen-2,warmup,2,1,candidate,2.240242666,2.178309,2424832,0,False,pass
spectral-norm-frozen-2,warmup,2,2,baseline,2.26282625,2.208744,2424832,0,False,pass
spectral-norm-frozen-2,retained,1,1,baseline,2.310883958,2.229416,2523136,0,False,pass
spectral-norm-frozen-2,retained,1,2,candidate,2.217577333,2.171293,2441216,0,False,pass
spectral-norm-frozen-2,retained,2,1,candidate,2.6334105,2.2239899999999997,2441216,0,False,pass
spectral-norm-frozen-2,retained,2,2,baseline,2.89884075,2.31654,2523136,0,False,pass
spectral-norm-frozen-2,retained,3,1,baseline,2.235441542,2.199302,2473984,0,False,pass
spectral-norm-frozen-2,retained,3,2,candidate,2.510573,2.245267,2457600,0,False,pass
spectral-norm-frozen-2,retained,4,1,candidate,2.190089584,2.158503,2490368,0,False,pass
