phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.527079625,1.502764,40206336,0,True
warmup,1,2,candidate,1.5873305,1.560716,39911424,0,True
warmup,2,1,candidate,1.599423791,1.5670369999999998,39829504,0,True
warmup,2,2,baseline,1.516462584,1.488241,40042496,0,True
retained,1,1,baseline,1.509911542,1.488572,40026112,0,True
retained,1,2,candidate,1.591879208,1.5660109999999998,39862272,0,True
retained,2,1,candidate,1.575055083,1.56429,40255488,0,True
retained,2,2,baseline,1.519116541,1.499007,40337408,0,True
retained,3,1,baseline,1.5064755,1.483746,40124416,0,True
retained,3,2,candidate,1.582377708,1.564539,40157184,0,True
retained,4,1,candidate,1.588975291,1.565954,40222720,0,True
retained,4,2,baseline,1.51796475,1.498401,40075264,0,True
retained,5,1,baseline,1.516522292,1.501081,40353792,0,True
retained,5,2,candidate,1.602589,1.570071,40157184,0,True
retained,6,1,candidate,1.586403625,1.572028,39944192,0,True
retained,6,2,baseline,1.515091041,1.500498,40173568,0,True
retained,7,1,baseline,1.519240708,1.499619,40452096,0,True
retained,7,2,candidate,1.588239042,1.557636,40386560,0,True
