phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.558253875,1.546502,39682048,0,True
warmup,1,2,candidate,1.624931125,1.55611,39911424,0,True
warmup,2,1,candidate,1.617111708,1.582658,39976960,0,True
warmup,2,2,baseline,1.609549333,1.533506,39796736,0,True
retained,1,1,baseline,1.541759334,1.524544,40402944,0,True
retained,1,2,candidate,1.633106334,1.561666,40189952,0,True
retained,2,1,candidate,1.603958792,1.5517189999999998,40271872,0,True
retained,2,2,baseline,1.544737958,1.524484,40108032,0,True
retained,3,1,baseline,1.567015334,1.540427,40337408,0,True
retained,3,2,candidate,1.574704875,1.534093,40140800,0,True
retained,4,1,candidate,1.594998625,1.558175,39714816,0,True
retained,4,2,baseline,1.538470667,1.517566,40288256,0,True
retained,5,1,baseline,1.565003458,1.531564,39747584,0,True
retained,5,2,candidate,1.575126958,1.545687,40402944,0,True
retained,6,1,candidate,1.597615625,1.560235,40222720,0,True
retained,6,2,baseline,1.603023209,1.556967,40157184,0,True
retained,7,1,baseline,1.619975375,1.5807259999999999,39747584,0,True
retained,7,2,candidate,1.657466792,1.60192,39895040,0,True
