phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.509986458,1.498187,40386560,0,True
warmup,1,2,candidate,1.583365708,1.5601409999999998,40091648,0,True
warmup,2,1,candidate,1.580737375,1.566781,40140800,0,True
warmup,2,2,baseline,1.531228375,1.520282,40009728,0,True
retained,1,1,baseline,1.506835958,1.48919,40124416,0,True
retained,1,2,candidate,1.575096709,1.5651549999999999,40386560,0,True
retained,2,1,candidate,1.581638667,1.552977,40239104,0,True
retained,2,2,baseline,1.548617125,1.5248979999999999,40370176,0,True
retained,3,1,baseline,1.499625333,1.4822229999999998,40206336,0,True
retained,3,2,candidate,1.585259208,1.5585200000000001,40288256,0,True
retained,4,1,candidate,1.57421325,1.5586149999999999,40255488,0,True
retained,4,2,baseline,1.5059215,1.483347,40321024,0,True
retained,5,1,baseline,1.520043292,1.495723,40288256,0,True
retained,5,2,candidate,1.568927917,1.550881,40501248,0,True
retained,6,1,candidate,1.579954583,1.565474,40337408,0,True
retained,6,2,baseline,1.506968584,1.4853109999999998,40026112,0,True
retained,7,1,baseline,1.51026075,1.49647,39993344,0,True
retained,7,2,candidate,1.572744,1.552162,40353792,0,True
