phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.79,41287680,0
warmup,1,2,candidate,b2-b3,1.83,41238528,0
warmup,1,1,baseline,b3-b4,1.75,41271296,0
warmup,1,2,candidate,b3-b4,1.85,41156608,0
warmup,2,1,candidate,b2-b3,1.81,41615360,0
warmup,2,2,baseline,b2-b3,1.81,41222144,0
warmup,2,1,candidate,b3-b4,1.91,41271296,0
warmup,2,2,baseline,b3-b4,1.72,41189376,0
retained,1,1,baseline,b2-b3,1.69,41189376,0
retained,1,2,candidate,b2-b3,1.84,41091072,0
retained,1,1,baseline,b3-b4,1.74,41189376,0
retained,1,2,candidate,b3-b4,1.81,41058304,0
retained,2,1,candidate,b2-b3,1.81,41172992,0
retained,2,2,baseline,b2-b3,1.73,41156608,0
retained,2,1,candidate,b3-b4,1.79,41189376,0
retained,2,2,baseline,b3-b4,1.72,41107456,0
retained,3,1,baseline,b2-b3,1.81,41287680,0
retained,3,2,candidate,b2-b3,1.80,41353216,0
retained,3,1,baseline,b3-b4,1.79,41271296,0
retained,3,2,candidate,b3-b4,2.29,41353216,0
retained,4,1,candidate,b2-b3,2.00,41369600,0
retained,4,2,baseline,b2-b3,1.81,41189376,0
retained,4,1,candidate,b3-b4,1.89,41287680,0
retained,4,2,baseline,b3-b4,1.81,41041920,0
retained,5,1,baseline,b2-b3,1.73,41254912,0
retained,5,2,candidate,b2-b3,1.82,41156608,0
retained,5,1,baseline,b3-b4,1.75,41238528,0
retained,5,2,candidate,b3-b4,1.93,41238528,0
retained,6,1,candidate,b2-b3,1.90,41058304,0
retained,6,2,baseline,b2-b3,1.73,41172992,0
retained,6,1,candidate,b3-b4,1.86,41172992,0
retained,6,2,baseline,b3-b4,1.89,41271296,0
retained,7,1,baseline,b2-b3,1.81,41205760,0
retained,7,2,candidate,b2-b3,1.87,41254912,0
retained,7,1,baseline,b3-b4,1.78,41238528,0
retained,7,2,candidate,b3-b4,1.85,41304064,0
