phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.32,64671744,0
warmup,1,2,candidate,b2-b3,1.50,64569344,0
warmup,1,1,baseline,b3-b4,1.34,64540672,0
warmup,1,2,candidate,b3-b4,1.38,64634880,0
warmup,2,1,candidate,b2-b3,1.39,64602112,0
warmup,2,2,baseline,b2-b3,1.33,64544768,0
warmup,2,1,candidate,b3-b4,1.38,64569344,0
warmup,2,2,baseline,b3-b4,1.33,64573440,0
retained,1,1,baseline,b2-b3,1.38,64409600,0
retained,1,2,candidate,b2-b3,1.40,64458752,0
retained,1,1,baseline,b3-b4,1.28,64593920,0
retained,1,2,candidate,b3-b4,1.38,64479232,0
retained,2,1,candidate,b2-b3,1.36,64606208,0
retained,2,2,baseline,b2-b3,1.33,64552960,0
retained,2,1,candidate,b3-b4,1.41,64479232,0
retained,2,2,baseline,b3-b4,1.31,64536576,0
retained,3,1,baseline,b2-b3,1.30,64471040,0
retained,3,2,candidate,b2-b3,1.38,64602112,0
retained,3,1,baseline,b3-b4,1.31,64540672,0
retained,3,2,candidate,b3-b4,1.39,64610304,0
retained,4,1,candidate,b2-b3,1.49,64512000,0
retained,4,2,baseline,b2-b3,1.38,64512000,0
retained,4,1,candidate,b3-b4,1.42,64479232,0
retained,4,2,baseline,b3-b4,1.33,64671744,0
retained,5,1,baseline,b2-b3,1.35,64544768,0
retained,5,2,candidate,b2-b3,1.35,64598016,0
retained,5,1,baseline,b3-b4,1.29,64643072,0
retained,5,2,candidate,b3-b4,1.38,64581632,0
retained,6,1,candidate,b2-b3,1.35,64479232,0
retained,6,2,baseline,b2-b3,1.29,64557056,0
retained,6,1,candidate,b3-b4,1.35,64598016,0
retained,6,2,baseline,b3-b4,1.29,64581632,0
retained,7,1,baseline,b2-b3,1.26,64569344,0
retained,7,2,candidate,b2-b3,1.36,64630784,0
retained,7,1,baseline,b3-b4,1.28,64577536,0
retained,7,2,candidate,b3-b4,1.38,64765952,0
