phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.517602834,1.492378,40058880,0,True
warmup,1,2,candidate,1.600664917,1.575984,40222720,0,True
warmup,2,1,candidate,1.585678208,1.573089,40566784,0,True
warmup,2,2,baseline,1.532706875,1.497085,40730624,0,True
retained,1,1,baseline,1.529203042,1.501659,40026112,0,True
retained,1,2,candidate,1.589613,1.568659,40009728,0,True
retained,2,1,candidate,1.582231083,1.569543,40124416,0,True
retained,2,2,baseline,1.499155583,1.485388,40058880,0,True
retained,3,1,baseline,1.493290209,1.476045,40140800,0,True
retained,3,2,candidate,1.591967167,1.566171,40452096,0,True
retained,4,1,candidate,1.604549583,1.5813700000000002,40484864,0,True
retained,4,2,baseline,1.497339208,1.475859,40140800,0,True
retained,5,1,baseline,1.496001458,1.4815099999999999,40402944,0,True
retained,5,2,candidate,1.584821125,1.5713979999999999,40255488,0,True
retained,6,1,candidate,1.596585917,1.584836,40091648,0,True
retained,6,2,baseline,1.521907334,1.500158,40075264,0,True
retained,7,1,baseline,1.495375083,1.482031,40157184,0,True
retained,7,2,candidate,1.597601792,1.571429,40288256,0,True
