phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.74,41353216,0
warmup,1,2,candidate,b2-b3,1.84,41058304,0
warmup,1,1,baseline,b3-b4,1.80,41091072,0
warmup,1,2,candidate,b3-b4,1.93,41369600,0
warmup,2,1,candidate,b2-b3,1.92,41189376,0
warmup,2,2,baseline,b2-b3,1.73,41091072,0
warmup,2,1,candidate,b3-b4,1.91,41353216,0
warmup,2,2,baseline,b3-b4,1.92,41205760,0
retained,1,1,baseline,b2-b3,1.74,41238528,0
retained,1,2,candidate,b2-b3,1.87,41156608,0
retained,1,1,baseline,b3-b4,1.79,41156608,0
retained,1,2,candidate,b3-b4,1.77,41238528,0
retained,2,1,candidate,b2-b3,1.82,41107456,0
retained,2,2,baseline,b2-b3,1.77,40779776,0
retained,2,1,candidate,b3-b4,1.77,40861696,0
retained,2,2,baseline,b3-b4,1.86,40992768,0
retained,3,1,baseline,b2-b3,1.70,40992768,0
retained,3,2,candidate,b2-b3,1.83,41353216,0
retained,3,1,baseline,b3-b4,1.68,40845312,0
retained,3,2,candidate,b3-b4,1.88,41222144,0
retained,4,1,candidate,b2-b3,1.80,41287680,0
retained,4,2,baseline,b2-b3,1.74,40943616,0
retained,4,1,candidate,b3-b4,1.78,40927232,0
retained,4,2,baseline,b3-b4,1.73,41205760,0
retained,5,1,baseline,b2-b3,1.79,40960000,0
retained,5,2,candidate,b2-b3,1.89,41336832,0
retained,5,1,baseline,b3-b4,1.84,41336832,0
retained,5,2,candidate,b3-b4,1.88,40910848,0
retained,6,1,candidate,b2-b3,1.87,41287680,0
retained,6,2,baseline,b2-b3,1.70,41123840,0
retained,6,1,candidate,b3-b4,1.78,41222144,0
retained,6,2,baseline,b3-b4,1.78,41205760,0
retained,7,1,baseline,b2-b3,1.74,40943616,0
retained,7,2,candidate,b2-b3,1.93,41189376,0
retained,7,1,baseline,b3-b4,1.78,41353216,0
retained,7,2,candidate,b3-b4,1.80,41041920,0
