phase,round,order,role,stage,elapsed_seconds,peak_rss_bytes,status
warmup,1,1,baseline,b2-b3,1.26,64409600,0
warmup,1,2,candidate,b2-b3,1.34,64479232,0
warmup,1,1,baseline,b3-b4,1.24,64561152,0
warmup,1,2,candidate,b3-b4,1.34,64479232,0
warmup,2,1,candidate,b2-b3,1.32,64598016,0
warmup,2,2,baseline,b2-b3,1.25,64540672,0
warmup,2,1,candidate,b3-b4,1.30,64602112,0
warmup,2,2,baseline,b3-b4,1.26,64573440,0
retained,1,1,baseline,b2-b3,1.24,64602112,0
retained,1,2,candidate,b2-b3,1.31,64598016,0
retained,1,1,baseline,b3-b4,1.29,64671744,0
retained,1,2,candidate,b3-b4,1.33,64610304,0
retained,2,1,candidate,b2-b3,1.31,64565248,0
retained,2,2,baseline,b2-b3,1.26,64589824,0
retained,2,1,candidate,b3-b4,1.30,64466944,0
retained,2,2,baseline,b3-b4,1.21,64507904,0
retained,3,1,baseline,b2-b3,1.21,64540672,0
retained,3,2,candidate,b2-b3,1.32,64466944,0
retained,3,1,baseline,b3-b4,1.22,64512000,0
retained,3,2,candidate,b3-b4,1.31,64466944,0
retained,4,1,candidate,b2-b3,1.32,64602112,0
retained,4,2,baseline,b2-b3,1.25,64512000,0
retained,4,1,candidate,b3-b4,1.38,64479232,0
retained,4,2,baseline,b3-b4,1.33,64524288,0
retained,5,1,baseline,b2-b3,1.30,64507904,0
retained,5,2,candidate,b2-b3,1.29,64479232,0
retained,5,1,baseline,b3-b4,1.26,64589824,0
retained,5,2,candidate,b3-b4,1.30,64532480,0
retained,6,1,candidate,b2-b3,1.25,64458752,0
retained,6,2,baseline,b2-b3,1.20,64540672,0
retained,6,1,candidate,b3-b4,1.31,64585728,0
retained,6,2,baseline,b3-b4,1.23,64540672,0
retained,7,1,baseline,b2-b3,1.20,64655360,0
retained,7,2,candidate,b2-b3,1.25,64569344,0
retained,7,1,baseline,b3-b4,1.20,64524288,0
retained,7,2,candidate,b3-b4,1.29,64458752,0
