phase,round,order,role,wall,cpu,rss,status,fixedPoint
warmup,1,1,baseline,1.522090417,1.4913800000000001,40337408,0,True
warmup,1,2,candidate,1.591906417,1.5730739999999999,39976960,0,True
warmup,2,1,candidate,1.589716833,1.5819320000000001,40468480,0,True
warmup,2,2,baseline,1.495427458,1.487914,40452096,0,True
retained,1,1,baseline,1.493798833,1.480861,40091648,0,True
retained,1,2,candidate,1.608241708,1.5912060000000001,40140800,0,True
retained,2,1,candidate,1.588471333,1.581294,40386560,0,True
retained,2,2,baseline,1.504252667,1.497612,40026112,0,True
retained,3,1,baseline,1.498723917,1.4842499999999998,40222720,0,True
retained,3,2,candidate,1.59112325,1.576793,40058880,0,True
retained,4,1,candidate,1.59325,1.5732059999999999,40845312,0,True
retained,4,2,baseline,1.512314667,1.494395,40189952,0,True
retained,5,1,baseline,1.51742025,1.493971,40173568,0,True
retained,5,2,candidate,1.586259958,1.579379,40108032,0,True
retained,6,1,candidate,1.595510125,1.570468,40239104,0,True
retained,6,2,baseline,1.574898125,1.531852,40091648,0,True
retained,7,1,baseline,1.50069425,1.4888709999999998,40075264,0,True
retained,7,2,candidate,1.590195416,1.565248,40632320,0,True
