label,wall_precise,status,stdout_sha256,wall,cpu,rss,phase,round,role,kind,case,size
baseline-self-build,1.5900028750766069,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.58,1.5499999999999998,40386560,warmup,1,baseline,self-build,compiler,349240
same_feature-self-build,1.6551728751510382,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.64,1.6199999999999999,40681472,warmup,1,same_feature,self-build,compiler,349256
candidate-self-build,1.6748403329402208,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.66,1.63,40747008,warmup,1,candidate,self-build,compiler,349256
baseline-spectral-build,0.1382926250807941,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39550976,warmup,1,baseline,app-build,spectral,50984
same_feature-spectral-build,0.13249345892108977,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39354368,warmup,1,same_feature,app-build,spectral,50984
candidate-spectral-build,0.13010091707110405,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.11,39518208,warmup,1,candidate,app-build,spectral,50984
baseline-spectral-100,0.3558717081323266,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.34,0.0,1474560,warmup,1,baseline,runtime,spectral100,
same_feature-spectral-100,0.33773604105226696,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.33,0.0,1474560,warmup,1,same_feature,runtime,spectral100,
candidate-spectral-100,0.155114124994725,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.14,0.0,1474560,warmup,1,candidate,runtime,spectral100,
baseline-spectral-5500,2.241861625108868,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.23,2.21,2441216,warmup,1,baseline,runtime,spectral5500,
same_feature-spectral-5500,2.2455621249973774,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.23,2.1999999999999997,2424832,warmup,1,same_feature,runtime,spectral5500,
candidate-spectral-5500,2.2581946670543402,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.24,2.2,2424832,warmup,1,candidate,runtime,spectral5500,
baseline-integer-build,0.1280852910131216,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39436288,warmup,1,baseline,app-build,integer,50952
same_feature-integer-build,0.11963729211129248,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.09,39600128,warmup,1,same_feature,app-build,integer,50952
candidate-integer-build,0.1193744579795748,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39403520,warmup,1,candidate,app-build,integer,50952
baseline-integer-,0.4285245828796178,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.42,0.06,2244608,warmup,1,baseline,runtime,integer,
same_feature-integer-,0.2125651251990348,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.2,0.06,2260992,warmup,1,same_feature,runtime,integer,
candidate-integer-,0.23972704214975238,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.23,0.06,2244608,warmup,1,candidate,runtime,integer,
baseline-float-build,0.13336829212494195,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39796736,warmup,1,baseline,app-build,float,50952
same_feature-float-build,0.12284908397123218,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.09,39534592,warmup,1,same_feature,app-build,float,50952
candidate-float-build,0.12097291694954038,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.09,39534592,warmup,1,candidate,app-build,float,50952
baseline-float-,0.3934827500488609,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.38,0.05,1409024,warmup,1,baseline,runtime,float,
same_feature-float-,0.20500758313573897,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.19,0.05,1409024,warmup,1,same_feature,runtime,float,
candidate-float-,0.20508037507534027,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.19,0.05,1409024,warmup,1,candidate,runtime,float,
same_feature-self-build,1.6604187081102282,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.64,1.6099999999999999,40534016,warmup,2,same_feature,self-build,compiler,349256
candidate-self-build,1.655981124844402,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.64,1.6099999999999999,40386560,warmup,2,candidate,self-build,compiler,349256
baseline-self-build,1.6017594169825315,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.59,1.5699999999999998,40255488,warmup,2,baseline,self-build,compiler,349240
same_feature-spectral-build,0.13861900009214878,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.13,0.12,39141376,warmup,2,same_feature,app-build,spectral,50984
candidate-spectral-build,0.13455533306114376,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39190528,warmup,2,candidate,app-build,spectral,50984
baseline-spectral-build,0.14117329102009535,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.13,0.11,39665664,warmup,2,baseline,app-build,spectral,50984
same_feature-spectral-100,0.016802832949906588,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1474560,warmup,2,same_feature,runtime,spectral100,
