round,warmup,role,case,stage,input,wallSeconds,cpuSeconds,peakRssBytes,artifactBytes,artifactSha256,stdoutSha256
0,True,cumulative,spectral-norm,build,5500,0.372314958833158,0.11,39600128,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,cumulative,spectral-norm,runtime,5500,2.567738875048235,2.2,2457600,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
0,True,cumulative,n-body,build,1000000,0.14301549992524087,0.11,39665664,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,cumulative,n-body,runtime,1000000,0.4471162911504507,0.1,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
0,True,cumulative,compiler,self-build,,1.6003006668761373,1.5499999999999998,40091648,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,control,spectral-norm,build,5500,0.13738270895555615,0.11,39813120,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,control,spectral-norm,runtime,5500,2.54126804205589,2.19,2621440,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
0,True,control,n-body,build,1000000,0.16303004091605544,0.14,39469056,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,control,n-body,runtime,1000000,0.6491002920083702,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
0,True,control,compiler,self-build,,1.6587738329544663,1.6199999999999999,40419328,349256,d9495f0a02c7459d2157c251f76bfe1f01aa3cc64a84cb25962211fead038f7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,candidate,spectral-norm,build,5500,0.14060820802114904,0.12,39600128,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,candidate,spectral-norm,runtime,5500,2.378907792037353,2.19,2424832,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
0,True,candidate,n-body,build,1000000,0.1529031249228865,0.12,39665664,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0,True,candidate,n-body,runtime,1000000,0.4746708341408521,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
0,True,candidate,compiler,self-build,,1.6651742500253022,1.63,40222720,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1,True,control,spectral-norm,build,5500,0.13006370910443366,0.11,39567360,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1,True,control,spectral-norm,runtime,5500,2.368338917149231,2.1799999999999997,2441216,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
