phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	fannkuch-redux	typerb-native	pass	0			0.15613404299995182	0.054548	78012416	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
warmup	1	0	2	fannkuch-redux	typerb-go	pass	0			3.736948681999934	9.726494	388972544	2810060	c88af764342237980375580ccd4e53dd94b65af411b925546438a834cde1f7dd	0	true	true
warmup	2	0	1	fannkuch-redux	typerb-go	pass	0			0.43114525499993306	0.328647	159158272	2810060	ed2921c4f209eb2986898cd6062bc95ae37beddf8d41fd8557f65f8d2bd9060b	0	true	true
warmup	2	0	2	fannkuch-redux	typerb-native	pass	0			0.15146416999994017	0.053348	78065664	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	3	1	1	fannkuch-redux	typerb-native	pass	0			0.15052707999996073	0.053379	78000128	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	3	1	2	fannkuch-redux	typerb-go	pass	0			0.41254809099996237	0.324355	161275904	2810092	aab132d3a882dcaee51247d9c564eccb29bd30b00fca5c20638c7715419b8aa3	0	true	true
retained	4	2	1	fannkuch-redux	typerb-go	pass	0			0.37891084599993974	0.323602	161931264	2810092	dae403387f3ce46d1d5c4f4fe8e3aa9466b4d05081c70fda42f3d4e89e24401a	0	true	true
retained	4	2	2	fannkuch-redux	typerb-native	pass	0			0.15372375499998725	0.053223	78069760	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	5	3	1	fannkuch-redux	typerb-native	pass	0			0.14840433500000927	0.053791	77754368	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	5	3	2	fannkuch-redux	typerb-go	pass	0			0.5011404260000063	0.338406	161185792	2810092	75d2ef328bcb528abd3b926b2ed113026850c9af1c4a5e7897c9e8efb6f937d4	0	true	true
retained	6	4	1	fannkuch-redux	typerb-go	pass	0			0.44473003200005223	0.329522	158982144	2810060	21740e246a87ce1ec1d8f686ba50685426a9b4462c6563f364d29a4f952bfa41	0	true	true
retained	6	4	2	fannkuch-redux	typerb-native	pass	0			0.15106286000002456	0.053857	77766656	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	7	5	1	fannkuch-redux	typerb-native	pass	0			0.1508337699999629	0.053114	77832192	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	7	5	2	fannkuch-redux	typerb-go	pass	0			0.43653560300003846	0.337802	159989760	2810092	026965211a80a69b3a53ed0b806c0c78852e1bb5bf2f57cf18278e80621ff7b2	0	true	true
retained	8	6	1	fannkuch-redux	typerb-go	pass	0			0.5351020980000385	0.344315	160837632	2810100	9abf49e4e25bd369c2a0faea02ade15f55ab9a24bae27c7634633d4b394febe6	0	true	true
retained	8	6	2	fannkuch-redux	typerb-native	pass	0			0.15072273600003427	0.054144	78004224	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	9	7	1	fannkuch-redux	typerb-native	pass	0			0.152495488999989	0.054192	78290944	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	9	7	2	fannkuch-redux	typerb-go	pass	0			0.398715186000004	0.329033	160636928	2810100	795c6f507ff6c4340517764b7a3cf7a99988b70e72af3cddf0a9897c3c49a660	0	true	true
retained	10	8	1	fannkuch-redux	typerb-go	pass	0			0.43490366300000005	0.337334	161218560	2810060	ab7d18057b79ad353b26a5455626d0ef167b4f54bfff2830ac5b105ab108b219	0	true	true
retained	10	8	2	fannkuch-redux	typerb-native	pass	0			0.15126238400000602	0.053882	78069760	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	11	9	1	fannkuch-redux	typerb-native	pass	0			0.1500686609999775	0.053504	78028800	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	11	9	2	fannkuch-redux	typerb-go	pass	0			0.5148330700000088	0.336672	159797248	2810092	65cc8193fa2be8e200e8c8c243a58906cba1c06371ba6c9deafcd8a05eda7bee	0	true	true
retained	12	10	1	fannkuch-redux	typerb-go	pass	0			0.4483255340001051	0.329202	160792576	2810092	d9271e4f0dba95838bacd7e86fedf280ac73b4422ba95f95dc086f38e2815a91	0	true	true
retained	12	10	2	fannkuch-redux	typerb-native	pass	0			0.15132356499998423	0.05325	77991936	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	13	11	1	fannkuch-redux	typerb-native	pass	0			0.14702172599993446	0.053857	78020608	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d	0	true	true
retained	13	11	2	fannkuch-redux	typerb-go	pass	0			0.48582998400002	0.327443	161173504	2810092	536785ad52b706d7387fe50411b82c7040a3346d5971fc2bbc351c515f11c55a	0	true	true
