phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.21657751000000758	0.070468	77930496	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			4.105185484999993	10.737994	397283328	2817378	3593e5c51045926d4120fdd0f12465239bc8747a0d0047a197b9ecbbd75dba68	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.49151974700001233	0.41291	161734656	2817386	ea22593670644127eab2c538eab2ae1133b83f14166a1acc570c1bcddf0183d5	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.21205190599999924	0.069823	77934592	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.21095834999999852	0.0689	78118912	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.5264894759999947	0.417938	162934784	2817322	06a7a17f450d312101b8c83b83067649a9a197f15008d7e35b34756d5af70a47	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.4993716100000256	0.410875	162869248	2817378	9dcb9c86be138b5697790905f6a47e47061691fac9323eb1bc81ffe80cd02495	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.2097462060000055	0.070835	78360576	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.2117929199999935	0.070237	78364672	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.5167836800000032	0.41307	162922496	2817378	8ac4b41ed101c0540c3fc90c61f69010b52c882196ed06cb728afd36d6578ca9	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.5328903560000242	0.413092	162344960	2817322	2c58a705d05252f80b958c2c373442e1b0193a31eed12b0be81e023b17cc66f3	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.20742030600001726	0.070113	77877248	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.20840583500000776	0.06951	78110720	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.4998422809999852	0.417893	162406400	2817378	8e9e24f8c2c6cfa28c8490adb89e2e440fac99085e95b019824236f93901b415	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.4989717800000051	0.414612	163368960	2817386	8957e5ec10b912f67911d940a6a81808e2f6f542055be2ac7492f1cf72b4f9b4	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.21096489399999996	0.070165	78135296	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.2098234250000246	0.071359	78176256	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.5113900820000197	0.420466	163426304	2817322	df71a6dd0c3e0009fefd9d01ad2cdb1fe77fcf41aaa1551f24bf3ffc4111f7ce	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.5244233859999952	0.432725	163053568	2817378	04683bdb52d0850d1f6f58507ce2b05f6b02bceffb4273e5c9e8309581d149ed	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.21029825700000515	0.070316	77877248	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.2096701410000037	0.069364	78139392	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.5169846169999914	0.414244	162930688	2817378	8b757e0f84bd916d31931567872e9ec23906bab939cf194ec0b88418fcc4006b	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.5336064079999971	0.42752	162541568	2817322	ed8f3f47810c1d9f06d1cea6b8dfaa0607ce2ccb1588007d41d847a30222d943	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.21277035200000682	0.070393	78127104	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.21099530399999367	0.07017	78397440	23104	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.5117116039999985	0.417461	163643392	2817378	f6a9dccf7908fbc135e26a7d23d41e62cc36b9c7d5b43780d6288c84b6c4d7d2	0	true	true
