phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.18975880999994388	0.058324	78016512	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			4.123008813999945	10.498624	400707584	2810658	8d55854250e79adccbd6b01bc7444564b278e1c592e6fcb24917a46a7d98958b	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.7452286920000688	0.382592	159694848	2810658	6307192d47e16a0831aaeac854dad9c915e22f03f57636a1b2b161bb9e51458d	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.20074692999992294	0.057752	78479360	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.1983464360000653	0.059479	78192640	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.522221396999953	0.374987	161312768	2810658	52e0fe46035151a6fa624ac7b2db0797091ae73e3a66d2a98e5a11e25ee6dcc4	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.46536037399994257	0.375713	160698368	2810658	8f7d90e02703f67e1105db995f86a76f57754ed8144a7707f2ba256e0632d30f	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.1887476140000217	0.057987	78221312	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.1801790440000559	0.057069	78213120	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.44314180300000316	0.36864	161521664	2810658	03086409e7136bd01fce23e909b70e0550e274c1382807212b703151618464c6	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.502976647999958	0.374557	160858112	2810658	4f0820f180764ce71e75af490672a80d8c60bb1cc4d4f7edd7bb09a565ffc9cf	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.16430118000005223	0.058157	77959168	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.17222303599999123	0.057116	78213120	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.45645095500003663	0.368736	161976320	2810658	f2da10d0e2791932ffd8551db33d4ae52123e7e8901dbdb67d103bdb3b8ab33d	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.43671976500002074	0.373258	161374208	2810658	20dbb89f5cb231e67e99d3a6ae5ef28497441c76dc0bfa73b1629876341c8730	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.17760556499990798	0.057457	78221312	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.1839659339999571	0.057799	78286848	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.47526039100000617	0.368824	159195136	2810658	036244bc0f2f9b7aefdb153dfce3e11f415c20f0d3cbbe39af74789f580577dd	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.4396400050000011	0.364436	160899072	2810658	f15b6b79b35f01ceb2ffa3887df9c03bc3df3924cff93c06d71933e23cd3adc3	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.1697505159999082	0.056284	78032896	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.1682722409999542	0.056628	78213120	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.4386068249999653	0.368936	160288768	2810658	66d26d337851044ca9a23a685ab950e89709001f59eb70042a0e88303535d191	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.41150639399995725	0.367855	161316864	2810658	4c7bfea8fd470df6b2779bfb20c65e5d4c252e28533f4459c0717914730c9f8b	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.16466464099994482	0.057264	78225408	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.16490981000004012	0.056398	78229504	19808	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.4166796639999575	0.362525	161292288	2810658	69f7f4fa79b586d47b2b117e228f140b401a596de04e9e0c76351aa0282d9d26	0	true	true
