phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			202.25993302000006	202.249118	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			53.61463283000012	53.732109	4243456
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.291771238000365	27.28821	700416
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.983029224000347	24.979106	696320
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.823024985000302	24.872052	3563520
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.316717815000629	24.821486	1982464
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			23.926913573000093	23.909485	51802112
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			54.436046282999996	54.548112	4308992
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.29299826099941	27.287955	692224
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.96203154700015	24.957586	913408
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.674373933000425	24.722911	3801088
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.3038565910001125	24.815572	2002944
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			23.992917650999516	23.971049	52264960
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			202.27834137300033	202.263409	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.481384431999686	27.47786	786432
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.956401759000073	24.952298	905216
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.635968920999403	24.696295	3858432
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.31581485300012	24.817579	1982464
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			24.00401692000014	23.975962	51994624
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			202.41006106300028	202.391538	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			53.34636999699978	53.472731	4235264
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.954616214999987	24.95152	696320
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.604457720000028	24.661955	3608576
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.308984242999941	24.80767	1998848
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			23.992108978000033	23.970915	51937280
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			202.3029331480002	202.283209	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			53.10872837700026	53.206612	4091904
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.483127401000274	27.478515	786432
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.613626624000062	24.663329	3833856
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.305335484000352	24.818959	1986560
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			23.99875648499983	23.983516	51843072
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			202.33287233300052	202.317286	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			53.7114767740004	53.81766	4268032
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.898071129999153	27.893784	684032
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.982923440000377	24.97925	708608
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.308986527999878	24.816999	1986560
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			24.00302575800015	23.983778	51916800
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			202.2771312979985	202.26543	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			53.187838101001034	53.289017	4120576
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.895861535000222	27.891871	708608
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.97031789399989	24.967196	872448
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.623488749999524	24.67342	3686400
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			23.920980593000422	23.896415	51793920
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			202.29952699100068	202.284151	524288
retained	7	5	3	fannkuch-redux	four-core	typerb-go	pass	0			53.23969245400076	53.34759	4075520
retained	7	5	4	fannkuch-redux	four-core	c	pass	0			27.404326627000046	27.39779	700416
retained	7	5	5	fannkuch-redux	four-core	cpp	pass	0			25.031116841000767	25.026581	917504
retained	7	5	6	fannkuch-redux	four-core	go	pass	0			24.631882190000397	24.674316	3694592
retained	7	5	7	fannkuch-redux	four-core	rust	pass	0			6.317967621000207	24.820569	1982464
retained	8	6	1	fannkuch-redux	four-core	typerb-native	pass	0			202.22545917699972	202.203369	524288
