phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			202.2296652340001	202.208916	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			53.92621119200021	53.91473	3215360
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.402043796000044	27.397857	692224
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.978828999999905	24.973907	700416
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.60854451499995	24.601311	2904064
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.838632491	24.834003	1208320
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.503109087999974	24.432642	49414144
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			53.884676764999995	53.873656	3289088
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.28519743699985	27.279974	696320
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.984042988000056	24.978543	700416
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.602200505000155	24.594674	2887680
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.832892467000192	24.828377	1220608
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.4266227290002	24.365676	49623040
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			202.29804420899995	202.27207	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.28731761200015	27.281314	692224
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.958952180000097	24.953844	913408
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.61475210499998	24.606912	2904064
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.833108161000382	24.826922	1212416
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.50790335399961	24.443253	49356800
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			202.32532368300008	202.303603	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			53.838394316000176	53.827026	3297280
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.975989610000397	24.971748	913408
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.600893251999878	24.593042	2908160
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.839173899999878	24.833399	1212416
