phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			26.282778047999955	26.279544	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			7.538241727000013	7.549986	3809280
warmup	1	0	3	n-body	four-core	c	pass	0			2.975606295000034	2.972861	786432
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7415894979999393	2.738989	946176
warmup	1	0	5	n-body	four-core	go	pass	0			3.5995519990001412	3.600884	3551232
warmup	1	0	6	n-body	four-core	rust	pass	0			3.5268157040000006	3.523659	1220608
warmup	1	0	7	n-body	four-core	java	pass	0			4.989368135999939	4.942044	51589120
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			7.5384359380000205	7.552356	3932160
warmup	2	0	2	n-body	four-core	c	pass	0			2.976384478	2.97326	786432
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.731360540999958	2.728231	954368
warmup	2	0	4	n-body	four-core	go	pass	0			3.5987734180000643	3.5968	3936256
warmup	2	0	5	n-body	four-core	rust	pass	0			3.5126980309999	3.508537	1232896
warmup	2	0	6	n-body	four-core	java	pass	0			4.997758329999897	4.94564	51404800
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			26.280136577999883	26.276498	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.975972275999993	2.973254	786432
retained	3	1	2	n-body	four-core	cpp	pass	0			2.7432141080000747	2.740663	958464
retained	3	1	3	n-body	four-core	go	pass	0			3.598507685000186	3.602848	3948544
retained	3	1	4	n-body	four-core	rust	pass	0			3.5020281090000935	3.498415	1224704
retained	3	1	5	n-body	four-core	java	pass	0			4.995510650999904	4.949026	51580928
retained	3	1	6	n-body	four-core	typerb-native	pass	0			26.31609156400009	26.311794	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			7.539764880000121	7.553158	3964928
retained	4	2	1	n-body	four-core	cpp	pass	0			2.730883017999986	2.728579	946176
retained	4	2	2	n-body	four-core	go	pass	0			3.599291568000126	3.600671	3694592
retained	4	2	3	n-body	four-core	rust	pass	0			3.5030497019999984	3.499826	1224704
retained	4	2	4	n-body	four-core	java	pass	0			5.0157532539999465	4.95975	50966528
retained	4	2	5	n-body	four-core	typerb-native	pass	0			26.281312871999944	26.277734	524288
