phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			26.385172421999982	26.380836	524288
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			7.540496483000027	7.533074	3022848
warmup	1	0	3	n-body	one-core	c	pass	0			2.979234271999985	2.974317	942080
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.734265697000012	2.731302	937984
warmup	1	0	5	n-body	one-core	go	pass	0			3.6001891399999977	3.593802	2891776
warmup	1	0	6	n-body	one-core	rust	pass	0			3.510263731000009	3.506371	1216512
warmup	1	0	7	n-body	one-core	java	pass	0			5.04376183200003	4.969035	49307648
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			7.54136049799996	7.53387	3026944
warmup	2	0	2	n-body	one-core	c	pass	0			2.9773800710000273	2.974041	786432
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.7336417920000144	2.73025	946176
warmup	2	0	4	n-body	one-core	go	pass	0			3.599168167000016	3.592959	2883584
warmup	2	0	5	n-body	one-core	rust	pass	0			3.5305077849999975	3.526887	1232896
warmup	2	0	6	n-body	one-core	java	pass	0			5.014729805999991	4.948689	49246208
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			26.28157343500004	26.276521	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9772600040000157	2.97403	786432
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7324131799999805	2.729137	950272
retained	3	1	3	n-body	one-core	go	pass	0			3.6002335549999884	3.593342	2891776
retained	3	1	4	n-body	one-core	rust	pass	0			3.5107193659999893	3.507162	1216512
retained	3	1	5	n-body	one-core	java	pass	0			5.076876857000002	5.004156	49262592
retained	3	1	6	n-body	one-core	typerb-native	pass	0			26.234658437000007	26.230817	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			7.547014334999972	7.538906	3256320
retained	4	2	1	n-body	one-core	cpp	pass	0			2.739900585999976	2.736931	954368
retained	4	2	2	n-body	one-core	go	pass	0			3.602215499999943	3.594583	2883584
retained	4	2	3	n-body	one-core	rust	pass	0			3.527008947000013	3.523225	1204224
retained	4	2	4	n-body	one-core	java	pass	0			5.067184796999982	5.00176	49201152
retained	4	2	5	n-body	one-core	typerb-native	pass	0			26.35473966899997	26.350858	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			7.542233235000026	7.534169	3026944
retained	4	2	7	n-body	one-core	c	pass	0			2.9797611730000426	2.974974	786432
retained	5	3	1	n-body	one-core	go	pass	0			3.601127410999993	3.593912	2912256
retained	5	3	2	n-body	one-core	rust	pass	0			3.5405511209999077	3.536412	1204224
retained	5	3	3	n-body	one-core	java	pass	0			5.153123703000006	5.085082	49209344
retained	5	3	4	n-body	one-core	typerb-native	pass	0			26.286339154000075	26.282647	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			7.5503108719999545	7.542873	3063808
retained	5	3	6	n-body	one-core	c	pass	0			2.9776924220000183	2.97412	933888
retained	5	3	7	n-body	one-core	cpp	pass	0			2.7370129829999996	2.733928	933888
retained	6	4	1	n-body	one-core	rust	pass	0			3.535251564999953	3.530947	1208320
retained	6	4	2	n-body	one-core	java	pass	0			5.034830443000033	4.971454	49188864
retained	6	4	3	n-body	one-core	typerb-native	pass	0			26.31301405800002	26.309066	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			7.538754193000045	7.531855	3022848
retained	6	4	5	n-body	one-core	c	pass	0			2.9775885880000033	2.974512	786432
retained	6	4	6	n-body	one-core	cpp	pass	0			2.7323147780000454	2.729105	950272
retained	6	4	7	n-body	one-core	go	pass	0			3.598687315999996	3.592475	2895872
retained	7	5	1	n-body	one-core	java	pass	0			5.065602484999999	5.002357	49057792
retained	7	5	2	n-body	one-core	typerb-native	pass	0			26.232084562000068	26.227161	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			7.539664496	7.53192	3026944
retained	7	5	4	n-body	one-core	c	pass	0			2.9772818670001016	2.974067	933888
retained	7	5	5	n-body	one-core	cpp	pass	0			2.743478710999966	2.740125	950272
retained	7	5	6	n-body	one-core	go	pass	0			3.601121353000053	3.594591	3043328
retained	7	5	7	n-body	one-core	rust	pass	0			3.524258120000013	3.520799	1208320
retained	8	6	1	n-body	one-core	typerb-native	pass	0			26.32087985999999	26.316129	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			7.540502944000082	7.532818	3096576
retained	8	6	3	n-body	one-core	c	pass	0			2.9777451170000404	2.974243	946176
retained	8	6	4	n-body	one-core	cpp	pass	0			2.7310294729999214	2.727748	942080
retained	8	6	5	n-body	one-core	go	pass	0			3.6004652319999195	3.593213	2895872
retained	8	6	6	n-body	one-core	rust	pass	0			3.501473113999964	3.497628	1220608
retained	8	6	7	n-body	one-core	java	pass	0			5.065045429000065	5.002265	49532928
retained	9	7	1	n-body	one-core	typerb-go	pass	0			7.543194352	7.535804	3264512
retained	9	7	2	n-body	one-core	c	pass	0			2.9769231550000086	2.973373	937984
retained	9	7	3	n-body	one-core	cpp	pass	0			2.7455565590000788	2.742208	942080
retained	9	7	4	n-body	one-core	go	pass	0			3.599919479999926	3.593429	2899968
retained	9	7	5	n-body	one-core	rust	pass	0			3.5112968759999603	3.506212	1216512
retained	9	7	6	n-body	one-core	java	pass	0			5.081625002999999	5.017711	49356800
retained	9	7	7	n-body	one-core	typerb-native	pass	0			26.27891987700002	26.274628	524288
retained	10	8	1	n-body	one-core	c	pass	0			2.9771552129999463	2.973696	786432
retained	10	8	2	n-body	one-core	cpp	pass	0			2.7310681589999604	2.727659	937984
retained	10	8	3	n-body	one-core	go	pass	0			3.5998756410000396	3.593203	2899968
retained	10	8	4	n-body	one-core	rust	pass	0			3.5317065739999407	3.527455	1204224
retained	10	8	5	n-body	one-core	java	pass	0			5.066064761000007	4.998898	49246208
retained	10	8	6	n-body	one-core	typerb-native	pass	0			26.384208287999968	26.379308	524288
retained	10	8	7	n-body	one-core	typerb-go	pass	0			7.535979186999953	7.528916	3235840
retained	11	9	1	n-body	one-core	cpp	pass	0			2.737199267000051	2.733761	950272
retained	11	9	2	n-body	one-core	go	pass	0			3.6018169540000144	3.594614	3043328
retained	11	9	3	n-body	one-core	rust	pass	0			3.5321418849999873	3.528557	1220608
retained	11	9	4	n-body	one-core	java	pass	0			5.029043376999994	4.9637	49225728
retained	11	9	5	n-body	one-core	typerb-native	pass	0			26.28686863200005	26.281476	524288
retained	11	9	6	n-body	one-core	typerb-go	pass	0			7.53810664599996	7.531425	3272704
retained	11	9	7	n-body	one-core	c	pass	0			2.977879979000022	2.973827	786432
retained	12	10	1	n-body	one-core	go	pass	0			3.601542661000053	3.595082	2990080
retained	12	10	2	n-body	one-core	rust	pass	0			3.5317695469999535	3.528761	1212416
retained	12	10	3	n-body	one-core	java	pass	0			5.080073749000007	5.015951	49238016
retained	12	10	4	n-body	one-core	typerb-native	pass	0			26.26205782799991	26.257106	524288
retained	12	10	5	n-body	one-core	typerb-go	pass	0			7.538731599000016	7.531748	3026944
retained	12	10	6	n-body	one-core	c	pass	0			2.9770652830000017	2.973803	786432
retained	12	10	7	n-body	one-core	cpp	pass	0			2.7396402100000614	2.736768	954368
retained	13	11	1	n-body	one-core	rust	pass	0			3.532121544000006	3.528608	1220608
retained	13	11	2	n-body	one-core	java	pass	0			5.036766504999946	4.969065	49270784
retained	13	11	3	n-body	one-core	typerb-native	pass	0			26.376803743999858	26.373029	524288
retained	13	11	4	n-body	one-core	typerb-go	pass	0			7.546896310000193	7.538523	3268608
retained	13	11	5	n-body	one-core	c	pass	0			2.9765774889999648	2.973469	786432
retained	13	11	6	n-body	one-core	cpp	pass	0			2.73064174000001	2.728041	1007616
retained	13	11	7	n-body	one-core	go	pass	0			3.6001461630000904	3.593424	2895872
