phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			2.305834746999949	2.303312	1200128
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.637494600000082	5.647949	8077312
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7887783720000243	1.785826	954368
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.8408249960000376	1.836867	942080
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.219306547999963	3.219822	4550656
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.4594912780000868	1.801064	2482176
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.9251750050000282	1.885516	52797440
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.637956422000002	5.646588	8249344
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7893571270000166	1.786283	933888
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.8394528400000354	1.836831	966656
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.2197796990000143	3.223365	4468736
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4603854220000585	1.802711	2490368
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.9190212159999191	1.886711	52461568
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			2.3048539540000093	2.302825	1216512
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7880573349999622	1.785562	942080
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.8404156900000999	1.837035	946176
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.2190486850000752	3.22178	4718592
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.46331042199994954	1.801717	2236416
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.922233948999974	1.889158	52838400
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			2.3053011229999356	2.303495	1216512
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.63663153899995	5.64448	8151040
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.839753829000074	1.836901	970752
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.219810822999989	3.222266	4706304
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.4595470790000036	1.800984	2482176
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.9158990480000284	1.882237	52162560
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			2.3073809149999533	2.305402	1212416
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.636778032000052	5.643754	7979008
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.78816907800001	1.785522	946176
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.218810543000018	3.223957	4612096
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.45995902199990724	1.801458	2236416
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.9104261680000718	1.880333	52822016
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			2.3102599559999817	2.308339	1200128
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.636810049000019	5.647151	8495104
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.7880798149999464	1.785473	942080
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.8396489140000085	1.837006	946176
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.552302784999938	1.810055	2240512
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.9162119229999917	1.883062	52846592
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			2.304523744999983	2.302576	1224704
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.635584436000045	5.645739	8011776
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7878681690000349	1.785629	933888
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.8393028959999356	1.836771	962560
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.218489297000019	3.219312	4739072
retained	7	5	1	spectral-norm	four-core	java	pass	0			1.9120669449999923	1.881129	52559872
retained	7	5	2	spectral-norm	four-core	typerb-native	pass	0			2.30461053800002	2.302747	1224704
retained	7	5	3	spectral-norm	four-core	typerb-go	pass	0			5.636599810000007	5.646292	7966720
retained	7	5	4	spectral-norm	four-core	c	pass	0			1.7878048790000776	1.785379	950272
retained	7	5	5	spectral-norm	four-core	cpp	pass	0			1.839188973999967	1.836822	962560
retained	7	5	6	spectral-norm	four-core	go	pass	0			3.2181210810000493	3.22146	4562944
retained	7	5	7	spectral-norm	four-core	rust	pass	0			0.4613169140000082	1.802106	2424832
retained	8	6	1	spectral-norm	four-core	typerb-native	pass	0			2.307182302000001	2.305295	1216512
retained	8	6	2	spectral-norm	four-core	typerb-go	pass	0			5.63570188999995	5.645573	8249344
retained	8	6	3	spectral-norm	four-core	c	pass	0			1.7881281969999918	1.785474	954368
retained	8	6	4	spectral-norm	four-core	cpp	pass	0			1.8394093199999588	1.836635	950272
retained	8	6	5	spectral-norm	four-core	go	pass	0			3.218294032000017	3.221993	4726784
retained	8	6	6	spectral-norm	four-core	rust	pass	0			0.4588442300000679	1.800779	2224128
retained	8	6	7	spectral-norm	four-core	java	pass	0			1.9152295559999857	1.880188	52822016
retained	9	7	1	spectral-norm	four-core	typerb-go	pass	0			5.635841059000086	5.645363	7954432
retained	9	7	2	spectral-norm	four-core	c	pass	0			1.7882304439999643	1.785396	942080
retained	9	7	3	spectral-norm	four-core	cpp	pass	0			1.8394133080000756	1.836922	954368
retained	9	7	4	spectral-norm	four-core	go	pass	0			3.2181180439999935	3.222355	4542464
retained	9	7	5	spectral-norm	four-core	rust	pass	0			0.4618337569999085	1.80091	2240512
retained	9	7	6	spectral-norm	four-core	java	pass	0			1.9087198800000351	1.878469	52817920
retained	9	7	7	spectral-norm	four-core	typerb-native	pass	0			2.3066722239999535	2.304488	1302528
retained	10	8	1	spectral-norm	four-core	c	pass	0			1.7879916250000178	1.78541	937984
retained	10	8	2	spectral-norm	four-core	cpp	pass	0			1.8392768940000224	1.836924	974848
retained	10	8	3	spectral-norm	four-core	go	pass	0			3.218455324000047	3.222588	4984832
retained	10	8	4	spectral-norm	four-core	rust	pass	0			0.4596265119999998	1.801136	2228224
retained	10	8	5	spectral-norm	four-core	java	pass	0			1.9131598019999956	1.882105	52547584
retained	10	8	6	spectral-norm	four-core	typerb-native	pass	0			2.304388668999991	2.302389	1220608
retained	10	8	7	spectral-norm	four-core	typerb-go	pass	0			5.639269530999968	5.648732	8253440
retained	11	9	1	spectral-norm	four-core	cpp	pass	0			1.8392266539999582	1.836732	962560
retained	11	9	2	spectral-norm	four-core	go	pass	0			3.217991522000034	3.221097	4734976
retained	11	9	3	spectral-norm	four-core	rust	pass	0			0.46305217999997694	1.801921	2232320
retained	11	9	4	spectral-norm	four-core	java	pass	0			1.9180370130000028	1.885503	52920320
retained	11	9	5	spectral-norm	four-core	typerb-native	pass	0			2.305115021000006	2.303181	1224704
retained	11	9	6	spectral-norm	four-core	typerb-go	pass	0			5.63641498100003	5.647151	7839744
retained	11	9	7	spectral-norm	four-core	c	pass	0			1.7878331340000386	1.785537	950272
retained	12	10	1	spectral-norm	four-core	go	pass	0			3.218235112000002	3.222128	4878336
retained	12	10	2	spectral-norm	four-core	rust	pass	0			0.46835282099993947	1.801258	2228224
retained	12	10	3	spectral-norm	four-core	java	pass	0			1.9229973040000914	1.880669	52563968
retained	12	10	4	spectral-norm	four-core	typerb-native	pass	0			2.3059164750000036	2.304015	1220608
retained	12	10	5	spectral-norm	four-core	typerb-go	pass	0			5.636680077000051	5.646313	8028160
retained	12	10	6	spectral-norm	four-core	c	pass	0			1.7878157479999572	1.785342	958464
retained	12	10	7	spectral-norm	four-core	cpp	pass	0			1.8392829339999253	1.837014	950272
retained	13	11	1	spectral-norm	four-core	rust	pass	0			0.46226891499998146	1.80157	2220032
retained	13	11	2	spectral-norm	four-core	java	pass	0			1.9161851529999012	1.881255	52789248
retained	13	11	3	spectral-norm	four-core	typerb-native	pass	0			2.3049482349999835	2.303008	1208320
retained	13	11	4	spectral-norm	four-core	typerb-go	pass	0			5.635680039999897	5.645141	7979008
retained	13	11	5	spectral-norm	four-core	c	pass	0			1.78792876600005	1.785444	950272
retained	13	11	6	spectral-norm	four-core	cpp	pass	0			1.8391230519999908	1.836662	946176
retained	13	11	7	spectral-norm	four-core	go	pass	0			3.2185556880000377	3.220727	4739072
