phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			2.305452348000017	2.303843	1212416
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.636167043	5.628899	7208960
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.7881448439999872	1.785499	942080
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.8407424349999815	1.836965	958464
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.2186764129999688	3.212693	3952640
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7985892800000443	1.795162	1708032
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.9599306469999647	1.891972	50143232
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.637524696000014	5.630303	7192576
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7886494800000037	1.785684	991232
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8397797239999818	1.836832	950272
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.2222054239999807	3.214824	3944448
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7992633549999937	1.79526	1724416
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9484070699999734	1.883366	50307072
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			2.30693239499999	2.304364	1224704
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.78902492200001	1.785958	995328
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.839779587999999	1.837046	958464
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.220589325999981	3.213126	3952640
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7988848020000319	1.795206	1716224
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9630656649999878	1.881697	41566208
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			2.3041248320000136	2.30197	1220608
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.636624953000023	5.629425	7196672
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.8399927799999887	1.836994	950272
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.2187507400000186	3.212724	3960832
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.798356238999986	1.794922	1720320
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.9567027090000124	1.891	50352128
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			2.306640568999967	2.304126	1196032
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.636885968000001	5.62991	7213056
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7887476880000008	1.78565	962560
