phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	n-body	typerb-native	pass	0			0.17515684299996792	0.066469	78426112	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
warmup	1	0	2	n-body	typerb-go	pass	0			4.198325890999968	11.276446	408813568	2817378	c61576092afda1f75e34ae89f27ece40ab9d12c8d5612edcc35d7de64c0462f4	0	true	true
warmup	2	0	1	n-body	typerb-go	pass	0			0.8322132390001116	0.447014	163115008	2817386	2da0efc3ecc875da668ef4ad0f5e829e62923a48d14dd48fe871085f4c563999	0	true	true
warmup	2	0	2	n-body	typerb-native	pass	0			0.18023978499991244	0.069212	78606336	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	3	1	1	n-body	typerb-native	pass	0			0.18818506499997056	0.069446	78622720	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	3	1	2	n-body	typerb-go	pass	0			0.4627557549999892	0.430075	162955264	2817378	a4149699818f7554e8c8e908a30b79c04df74768b198072f0c5c35e38ad7b69b	0	true	true
retained	4	2	1	n-body	typerb-go	pass	0			0.5078723259998696	0.424552	163729408	2817378	ffe7bbe3a71d0a16408f2b08db7112c3cede1e47e7a4b1e2cb13fbc921981427	0	true	true
retained	4	2	2	n-body	typerb-native	pass	0			0.1830361460001768	0.069557	78651392	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	5	3	1	n-body	typerb-native	pass	0			0.18732948400020177	0.069969	78598144	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	5	3	2	n-body	typerb-go	pass	0			0.5154421370000364	0.437169	163172352	2817386	e492f31912d4aacf8ec01c866ed91e962bd2d7a91113a7f811a64a5c328bb811	0	true	true
retained	6	4	1	n-body	typerb-go	pass	0			0.5119137429999228	0.442244	164003840	2817386	3c8c5154254d58c5641f7b7d76622d5e9b7d47b60e39bd112ce537e9a9895c76	0	true	true
retained	6	4	2	n-body	typerb-native	pass	0			0.1841084130001036	0.070081	78639104	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	7	5	1	n-body	typerb-native	pass	0			0.1808274429999983	0.070235	78602240	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	7	5	2	n-body	typerb-go	pass	0			0.47438550200013196	0.442974	162471936	2817386	a4be6e21368910f95fdd07b4f31e5a5e76111b8432f5a5c31c27a8bee608ec23	0	true	true
retained	8	6	1	n-body	typerb-go	pass	0			0.47058732699997563	0.44143	162557952	2817386	ba0b5303c9458e4ae45f88bed4cf6c031e66b9071816bba729fc443149a6d4f9	0	true	true
retained	8	6	2	n-body	typerb-native	pass	0			0.18017025399990416	0.070183	78413824	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	9	7	1	n-body	typerb-native	pass	0			0.17753298499997072	0.068883	78589952	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	9	7	2	n-body	typerb-go	pass	0			0.4705396980000387	0.434182	163368960	2817322	ce850855c2beeeb0a0e2a5305455e9989dfb9609d678201b84e9ac1c85d9e8a3	0	true	true
retained	10	8	1	n-body	typerb-go	pass	0			0.4787235359999613	0.444468	163364864	2817386	747157a9e784eea04b566b4f3465f79aeedfad0d6a0d86aa849b4d308369c5fd	0	true	true
retained	10	8	2	n-body	typerb-native	pass	0			0.18123787600006835	0.068745	78340096	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	11	9	1	n-body	typerb-native	pass	0			0.17827771700012818	0.068328	78602240	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	11	9	2	n-body	typerb-go	pass	0			0.4588702149999335	0.400337	162902016	2817378	f4634b55c4ba2ffbb76cd375b7853115ceb61e76f862bbc0db571e7f2f6d9565	0	true	true
retained	12	10	1	n-body	typerb-go	pass	0			0.4625639860000774	0.430931	161267712	2817322	1a1938a90b9ea21fbf7760baf59821620062024ce39a743deaa53dc634d9535f	0	true	true
retained	12	10	2	n-body	typerb-native	pass	0			0.18125425099992754	0.068197	78598144	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	13	11	1	n-body	typerb-native	pass	0			0.18596232099980625	0.069309	78356480	21920	93738f4a9c461278063be187024e10146058dcab762784caaaab6361562ed68f	0	true	true
retained	13	11	2	n-body	typerb-go	pass	0			0.5152245880001374	0.433068	162283520	2817378	eb971dd8deaf4369df511d4f4c15a73b18cf60c099d8fa370b5e74ed711838c3	0	true	true
