phase	round	retained_index	order	case	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes	artifact_bytes	artifact_sha256	program_status	program_stderr_empty	program_stdout_exact
warmup	1	0	1	spectral-norm	typerb-native	pass	0			0.14937581300000602	0.052545	77979648	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
warmup	1	0	2	spectral-norm	typerb-go	pass	0			3.6015034949999745	9.524332	397852672	2810658	e64cecd91257943429d9d7b3992b42ce079d67f903c8f3820e1e0aa26e629868	0	true	true
warmup	2	0	1	spectral-norm	typerb-go	pass	0			0.4336387569999829	0.328835	159334400	2810658	e8318c49cd975cdcd28740cb13afbd4eb056162e38aa9c4f6fdcd42c3109c84e	0	true	true
warmup	2	0	2	spectral-norm	typerb-native	pass	0			0.14466711700003998	0.051832	78254080	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	3	1	1	spectral-norm	typerb-native	pass	0			0.14681721699997752	0.051815	77787136	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	3	1	2	spectral-norm	typerb-go	pass	0			0.4098723589999622	0.315523	160219136	2810658	4947d9539ff8fa77b337e5cafd8ffaa3402b2bea83a7cff42d8c108c77dcd8af	0	true	true
retained	4	2	1	spectral-norm	typerb-go	pass	0			0.371779078999964	0.319984	160587776	2810674	3476f7088e49d4740a20342cc4184fe7e0700064577e99b3607b7981433eb211	0	true	true
retained	4	2	2	spectral-norm	typerb-native	pass	0			0.1487689850000038	0.052149	78049280	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	5	3	1	spectral-norm	typerb-native	pass	0			0.14636318199995912	0.052343	78045184	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	5	3	2	spectral-norm	typerb-go	pass	0			0.36889448299996275	0.32465	160530432	2810658	b87b204b172478886e69d7cde3e839c35c92fcb04a51ad857e02b1ef834cdeba	0	true	true
retained	6	4	1	spectral-norm	typerb-go	pass	0			0.37110349100004214	0.328021	160047104	2810658	9a962b93e7c85268d3ab6e4fd493ae3892ea4cbfd746ffb8cba7890ae04db2c8	0	true	true
retained	6	4	2	spectral-norm	typerb-native	pass	0			0.15072436100001596	0.052944	78016512	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	7	5	1	spectral-norm	typerb-native	pass	0			0.1460126050000099	0.052152	78245888	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	7	5	2	spectral-norm	typerb-go	pass	0			0.3697681610000245	0.32834	160038912	2810658	35426317776b8676cfef5039e21121e903f772261586cc2cd215009bcb27b3bc	0	true	true
retained	8	6	1	spectral-norm	typerb-go	pass	0			0.3758726649999744	0.330148	158978048	2810562	f7b66c73deb6c99bceb048fdaac355ba1c7bf1e3a9cc1a1b01e8b62d2a059ba2	0	true	true
retained	8	6	2	spectral-norm	typerb-native	pass	0			0.1463670360000151	0.052609	77774848	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	9	7	1	spectral-norm	typerb-native	pass	0			0.14772479599997723	0.053185	78282752	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	9	7	2	spectral-norm	typerb-go	pass	0			0.39011839799997006	0.331735	161107968	2810658	3716a4c5db3b109b17bdef312db77218bef4e311ea201ed0568f3d4ff5d723e2	0	true	true
retained	10	8	1	spectral-norm	typerb-go	pass	0			0.37220233599998664	0.326217	159064064	2810658	db17da2f6b639b019fe840a7d8955e370d9aa420b1867be42338f4de6fb5fbd9	0	true	true
retained	10	8	2	spectral-norm	typerb-native	pass	0			0.14970484200000556	0.052374	77983744	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	11	9	1	spectral-norm	typerb-native	pass	0			0.1476777270000298	0.053081	78245888	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	11	9	2	spectral-norm	typerb-go	pass	0			0.37686770300001626	0.326499	159858688	2810658	c8ac64e7f42e57fa3be16afd5990eb70be5ca994d4a15137d272a733570a48b0	0	true	true
retained	12	10	1	spectral-norm	typerb-go	pass	0			0.3676783280000109	0.321041	160759808	2810658	1435b91aa20b862a85352e66d992bf68b5b8f78af9c04bccd7929b36c5ba9bcb	0	true	true
retained	12	10	2	spectral-norm	typerb-native	pass	0			0.1466677849999769	0.052581	78249984	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	13	11	1	spectral-norm	typerb-native	pass	0			0.1475025080000023	0.054203	78233600	19552	7df6c38d6b4303755cf5ca09f49c085b64c46b1296a80c73877f55813ca3b175	0	true	true
retained	13	11	2	spectral-norm	typerb-go	pass	0			0.3716915809999932	0.327166	159387648	2810658	8c0b4ed9faf0847ef039e1af414c262b7f2258bbed0c194ca57dbb96bf1f4bd8	0	true	true
