phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	four-core	typerb-native	pass	0			61.81459357899985	61.814274	524288
warmup	1	0	2	fannkuch-redux	four-core	typerb-go	pass	0			53.6241754040002	53.740201	4116480
warmup	1	0	3	fannkuch-redux	four-core	c	pass	0			27.28856510999958	27.286741	524288
warmup	1	0	4	fannkuch-redux	four-core	cpp	pass	0			24.98528079099924	24.982495	782336
warmup	1	0	5	fannkuch-redux	four-core	go	pass	0			24.618485856000007	24.678894	3489792
warmup	1	0	6	fannkuch-redux	four-core	rust	pass	0			6.311477948999709	24.834356	1982464
warmup	1	0	7	fannkuch-redux	four-core	java	pass	0			24.029561474999355	23.999527	50864128
warmup	2	0	1	fannkuch-redux	four-core	typerb-go	pass	0			53.77493928900003	53.905378	4177920
warmup	2	0	2	fannkuch-redux	four-core	c	pass	0			27.40745341999991	27.404577	524288
warmup	2	0	3	fannkuch-redux	four-core	cpp	pass	0			24.980886108999584	24.977827	786432
warmup	2	0	4	fannkuch-redux	four-core	go	pass	0			24.633760660999542	24.687823	3678208
warmup	2	0	5	fannkuch-redux	four-core	rust	pass	0			6.319628059000024	24.829534	1990656
warmup	2	0	6	fannkuch-redux	four-core	java	pass	0			24.013294437000695	23.986638	51126272
warmup	2	0	7	fannkuch-redux	four-core	typerb-native	pass	0			61.81589497999994	61.813897	524288
retained	3	1	1	fannkuch-redux	four-core	c	pass	0			27.479210647999935	27.47651	663552
retained	3	1	2	fannkuch-redux	four-core	cpp	pass	0			24.962513272999786	24.960127	962560
retained	3	1	3	fannkuch-redux	four-core	go	pass	0			24.65295168299963	24.708103	3715072
retained	3	1	4	fannkuch-redux	four-core	rust	pass	0			6.3349752009999065	24.836739	1994752
retained	3	1	5	fannkuch-redux	four-core	java	pass	0			24.012704240000858	23.989643	51458048
retained	3	1	6	fannkuch-redux	four-core	typerb-native	pass	0			61.814830362000066	61.814594	524288
retained	3	1	7	fannkuch-redux	four-core	typerb-go	pass	0			53.82234662200062	53.928049	4067328
retained	4	2	1	fannkuch-redux	four-core	cpp	pass	0			24.961732194999968	24.959782	991232
retained	4	2	2	fannkuch-redux	four-core	go	pass	0			24.64390484500018	24.695986	3436544
retained	4	2	3	fannkuch-redux	four-core	rust	pass	0			6.320932579000328	24.832482	1994752
retained	4	2	4	fannkuch-redux	four-core	java	pass	0			24.013747371000136	23.986885	51621888
retained	4	2	5	fannkuch-redux	four-core	typerb-native	pass	0			61.830313246000514	61.827247	524288
retained	4	2	6	fannkuch-redux	four-core	typerb-go	pass	0			53.670501382999646	53.795303	4190208
retained	4	2	7	fannkuch-redux	four-core	c	pass	0			27.906720020999273	27.902485	524288
retained	5	3	1	fannkuch-redux	four-core	go	pass	0			24.630087092000394	24.682835	3518464
retained	5	3	2	fannkuch-redux	four-core	rust	pass	0			6.336003862000325	24.828593	1986560
retained	5	3	3	fannkuch-redux	four-core	java	pass	0			24.015169557000263	23.986707	51118080
retained	5	3	4	fannkuch-redux	four-core	typerb-native	pass	0			61.82203527599995	61.820335	524288
retained	5	3	5	fannkuch-redux	four-core	typerb-go	pass	0			55.12830777199997	55.255108	4255744
retained	5	3	6	fannkuch-redux	four-core	c	pass	0			27.28886601100021	27.286874	524288
retained	5	3	7	fannkuch-redux	four-core	cpp	pass	0			24.955230147999828	24.953409	688128
retained	6	4	1	fannkuch-redux	four-core	rust	pass	0			6.308875519000139	24.833539	1990656
retained	6	4	2	fannkuch-redux	four-core	java	pass	0			24.017755785999725	23.99172	50728960
retained	6	4	3	fannkuch-redux	four-core	typerb-native	pass	0			61.8067412649998	61.806326	524288
retained	6	4	4	fannkuch-redux	four-core	typerb-go	pass	0			53.884912321999764	54.021213	4108288
retained	6	4	5	fannkuch-redux	four-core	c	pass	0			27.482984151999517	27.481041	524288
retained	6	4	6	fannkuch-redux	four-core	cpp	pass	0			24.958046899999317	24.955432	688128
retained	6	4	7	fannkuch-redux	four-core	go	pass	0			24.764827492999757	24.817699	3502080
retained	7	5	1	fannkuch-redux	four-core	java	pass	0			24.01772359200004	23.998126	50827264
retained	7	5	2	fannkuch-redux	four-core	typerb-native	pass	0			61.81769649099988	61.814836	524288
retained	7	5	3	fannkuch-redux	four-core	typerb-go	pass	0			53.522051513000406	53.657613	4063232
retained	7	5	4	fannkuch-redux	four-core	c	pass	0			27.902990601000056	27.901061	524288
retained	7	5	5	fannkuch-redux	four-core	cpp	pass	0			24.982826225999816	24.979342	688128
retained	7	5	6	fannkuch-redux	four-core	go	pass	0			24.667994501000067	24.73338	3559424
retained	7	5	7	fannkuch-redux	four-core	rust	pass	0			6.31413805900047	24.829936	1994752
