phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	fannkuch-redux	one-core	typerb-native	pass	0			61.831492558000036	61.824952	524288
warmup	1	0	2	fannkuch-redux	one-core	typerb-go	pass	0			53.02201495400004	53.00982	3100672
warmup	1	0	3	fannkuch-redux	one-core	c	pass	0			27.906291179999926	27.90298	524288
warmup	1	0	4	fannkuch-redux	one-core	cpp	pass	0			24.988534458000004	24.983652	684032
warmup	1	0	5	fannkuch-redux	one-core	go	pass	0			24.835989793999943	24.827624	2822144
warmup	1	0	6	fannkuch-redux	one-core	rust	pass	0			24.879097064999996	24.874449	1208320
warmup	1	0	7	fannkuch-redux	one-core	java	pass	0			24.710740399000088	24.625677	49442816
warmup	2	0	1	fannkuch-redux	one-core	typerb-go	pass	0			52.96877861100006	52.958019	3014656
warmup	2	0	2	fannkuch-redux	one-core	c	pass	0			27.29199768300009	27.289048	659456
warmup	2	0	3	fannkuch-redux	one-core	cpp	pass	0			24.968333984000083	24.963541	696320
warmup	2	0	4	fannkuch-redux	one-core	go	pass	0			24.624737461999985	24.613411	2764800
warmup	2	0	5	fannkuch-redux	one-core	rust	pass	0			24.8783886409999	24.874344	1236992
warmup	2	0	6	fannkuch-redux	one-core	java	pass	0			24.03794664499992	23.966402	49078272
warmup	2	0	7	fannkuch-redux	one-core	typerb-native	pass	0			61.82815361799999	61.824004	524288
retained	3	1	1	fannkuch-redux	one-core	c	pass	0			27.48560012600001	27.481387	524288
retained	3	1	2	fannkuch-redux	one-core	cpp	pass	0			24.989213672000005	24.98375	679936
retained	3	1	3	fannkuch-redux	one-core	go	pass	0			24.625288813999987	24.616904	2633728
retained	3	1	4	fannkuch-redux	one-core	rust	pass	0			24.881527145999826	24.874869	1196032
retained	3	1	5	fannkuch-redux	one-core	java	pass	0			24.460282903999996	24.389146	47509504
retained	3	1	6	fannkuch-redux	one-core	typerb-native	pass	0			61.82982532900019	61.825037	524288
retained	3	1	7	fannkuch-redux	one-core	typerb-go	pass	0			53.976061340000115	53.964432	3280896
retained	4	2	1	fannkuch-redux	one-core	cpp	pass	0			24.95807716200011	24.953839	692224
retained	4	2	2	fannkuch-redux	one-core	go	pass	0			24.620595703000163	24.61136	2637824
retained	4	2	3	fannkuch-redux	one-core	rust	pass	0			24.879981541000006	24.873665	1204224
retained	4	2	4	fannkuch-redux	one-core	java	pass	0			24.716359208999847	24.642692	49266688
retained	4	2	5	fannkuch-redux	one-core	typerb-native	pass	0			61.827184992000184	61.822788	524288
retained	4	2	6	fannkuch-redux	one-core	typerb-go	pass	0			53.02281774500011	53.00932	3293184
retained	4	2	7	fannkuch-redux	one-core	c	pass	0			27.90593487299998	27.902466	524288
retained	5	3	1	fannkuch-redux	one-core	go	pass	0			24.618021530000078	24.606352	2633728
retained	5	3	2	fannkuch-redux	one-core	rust	pass	0			24.875797468999963	24.871932	1208320
retained	5	3	3	fannkuch-redux	one-core	java	pass	0			24.699123634999978	24.628572	49070080
retained	5	3	4	fannkuch-redux	one-core	typerb-native	pass	0			61.836054559999866	61.831986	524288
retained	5	3	5	fannkuch-redux	one-core	typerb-go	pass	0			53.2191185019999	53.183131	3305472
retained	5	3	6	fannkuch-redux	one-core	c	pass	0			27.29760370000008	27.293311	524288
retained	5	3	7	fannkuch-redux	one-core	cpp	pass	0			24.957729760999882	24.953764	692224
retained	6	4	1	fannkuch-redux	one-core	rust	pass	0			24.87957194700016	24.874247	1183744
retained	6	4	2	fannkuch-redux	one-core	java	pass	0			24.624255358000028	24.559234	49025024
retained	6	4	3	fannkuch-redux	one-core	typerb-native	pass	0			61.830502245999924	61.826842	524288
retained	6	4	4	fannkuch-redux	one-core	typerb-go	pass	0			53.557677324999986	53.548711	3293184
retained	6	4	5	fannkuch-redux	one-core	c	pass	0			27.903646323999965	27.899998	524288
retained	6	4	6	fannkuch-redux	one-core	cpp	pass	0			24.987052583999684	24.981431	692224
retained	6	4	7	fannkuch-redux	one-core	go	pass	0			24.618120023999836	24.606681	2637824
retained	7	5	1	fannkuch-redux	one-core	java	pass	0			24.50361650900004	24.437687	49356800
retained	7	5	2	fannkuch-redux	one-core	typerb-native	pass	0			61.82382149399973	61.820227	524288
retained	7	5	3	fannkuch-redux	one-core	typerb-go	pass	0			53.31824830100004	53.305243	3260416
retained	7	5	4	fannkuch-redux	one-core	c	pass	0			27.406602606999968	27.403018	524288
retained	7	5	5	fannkuch-redux	one-core	cpp	pass	0			24.984579679000035	24.980361	671744
retained	7	5	6	fannkuch-redux	one-core	go	pass	0			24.61398669900018	24.605782	2629632
retained	7	5	7	fannkuch-redux	one-core	rust	pass	0			24.87513434199991	24.871541	1200128
retained	8	6	1	fannkuch-redux	one-core	typerb-native	pass	0			61.83017311899994	61.826302	524288
retained	8	6	2	fannkuch-redux	one-core	typerb-go	pass	0			53.45748740699992	53.442334	3268608
retained	8	6	3	fannkuch-redux	one-core	c	pass	0			27.918741223000325	27.914484	524288
retained	8	6	4	fannkuch-redux	one-core	cpp	pass	0			24.982657950999965	24.979511	692224
retained	8	6	5	fannkuch-redux	one-core	go	pass	0			24.626248761999705	24.614372	2641920
retained	8	6	6	fannkuch-redux	one-core	rust	pass	0			24.877704863999952	24.874065	1204224
retained	8	6	7	fannkuch-redux	one-core	java	pass	0			24.678925731000163	24.612813	49016832
retained	9	7	1	fannkuch-redux	one-core	typerb-go	pass	0			53.80103344700001	53.792192	3264512
retained	9	7	2	fannkuch-redux	one-core	c	pass	0			27.485572485000375	27.481219	651264
retained	9	7	3	fannkuch-redux	one-core	cpp	pass	0			24.963496104000114	24.9606	700416
retained	9	7	4	fannkuch-redux	one-core	go	pass	0			24.635800635000123	24.626192	2646016
retained	9	7	5	fannkuch-redux	one-core	rust	pass	0			24.878014974999587	24.874791	1191936
retained	9	7	6	fannkuch-redux	one-core	java	pass	0			24.681170980999923	24.611649	49033216
retained	9	7	7	fannkuch-redux	one-core	typerb-native	pass	0			61.8396778299998	61.836643	524288
retained	10	8	1	fannkuch-redux	one-core	c	pass	0			27.48421102500015	27.478393	667648
retained	10	8	2	fannkuch-redux	one-core	cpp	pass	0			24.98496583699989	24.981715	688128
retained	10	8	3	fannkuch-redux	one-core	go	pass	0			24.620409306000056	24.611854	2633728
retained	10	8	4	fannkuch-redux	one-core	rust	pass	0			24.872362662999876	24.868543	1204224
retained	10	8	5	fannkuch-redux	one-core	java	pass	0			24.691484512999978	24.615353	40722432
retained	10	8	6	fannkuch-redux	one-core	typerb-native	pass	0			61.82198897299986	61.817753	524288
retained	10	8	7	fannkuch-redux	one-core	typerb-go	pass	0			52.91617386000007	52.899375	3284992
retained	11	9	1	fannkuch-redux	one-core	cpp	pass	0			24.95902235800031	24.955897	696320
retained	11	9	2	fannkuch-redux	one-core	go	pass	0			24.615565355999934	24.608151	2699264
retained	11	9	3	fannkuch-redux	one-core	rust	pass	0			24.87640169799988	24.871356	1179648
retained	11	9	4	fannkuch-redux	one-core	java	pass	0			24.361106436999762	24.293243	47513600
retained	11	9	5	fannkuch-redux	one-core	typerb-native	pass	0			61.83493579300011	61.831445	524288
retained	11	9	6	fannkuch-redux	one-core	typerb-go	pass	0			53.9855600410001	53.97685	3256320
retained	11	9	7	fannkuch-redux	one-core	c	pass	0			27.289024444999995	27.284391	524288
retained	12	10	1	fannkuch-redux	one-core	go	pass	0			24.608446908000133	24.600468	2633728
retained	12	10	2	fannkuch-redux	one-core	rust	pass	0			24.880057195000063	24.875008	1196032
