phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	four-core	typerb-native	pass	0			7.875250580999932	7.873039	524288
warmup	1	0	2	n-body	four-core	typerb-go	pass	0			7.536267847999966	7.5508	4145152
warmup	1	0	3	n-body	four-core	c	pass	0			2.9759985470000174	2.973257	933888
warmup	1	0	4	n-body	four-core	cpp	pass	0			2.7329088860000184	2.730213	925696
warmup	1	0	5	n-body	four-core	go	pass	0			3.6006866900000887	3.601114	3690496
warmup	1	0	6	n-body	four-core	rust	pass	0			3.525634160999971	3.5224	1228800
warmup	1	0	7	n-body	four-core	java	pass	0			4.9922087420000025	4.939759	51113984
warmup	2	0	1	n-body	four-core	typerb-go	pass	0			7.538133449000043	7.548993	4055040
warmup	2	0	2	n-body	four-core	c	pass	0			2.9769175129999894	2.974281	933888
warmup	2	0	3	n-body	four-core	cpp	pass	0			2.7336706450000747	2.730082	962560
warmup	2	0	4	n-body	four-core	go	pass	0			3.5983924350000507	3.601433	3985408
warmup	2	0	5	n-body	four-core	rust	pass	0			3.4996171689999755	3.496785	1216512
warmup	2	0	6	n-body	four-core	java	pass	0			5.040651357999991	4.942275	51568640
warmup	2	0	7	n-body	four-core	typerb-native	pass	0			7.876706360000071	7.873689	524288
retained	3	1	1	n-body	four-core	c	pass	0			2.9760107549999475	2.97352	933888
retained	3	1	2	n-body	four-core	cpp	pass	0			2.74421909900002	2.741556	958464
retained	3	1	3	n-body	four-core	go	pass	0			3.596869839999954	3.601527	3678208
retained	3	1	4	n-body	four-core	rust	pass	0			3.5134908830000313	3.510384	1212416
retained	3	1	5	n-body	four-core	java	pass	0			5.024007026999925	4.973361	51585024
retained	3	1	6	n-body	four-core	typerb-native	pass	0			7.875662773000045	7.873472	524288
retained	3	1	7	n-body	four-core	typerb-go	pass	0			7.538963361000015	7.553257	4050944
retained	4	2	1	n-body	four-core	cpp	pass	0			2.7358354960000497	2.732922	946176
retained	4	2	2	n-body	four-core	go	pass	0			3.598637639000003	3.602129	3694592
retained	4	2	3	n-body	four-core	rust	pass	0			3.5352938529999847	3.532089	1216512
retained	4	2	4	n-body	four-core	java	pass	0			5.034651427000085	4.980223	51593216
retained	4	2	5	n-body	four-core	typerb-native	pass	0			7.874916042999985	7.872242	524288
retained	4	2	6	n-body	four-core	typerb-go	pass	0			7.538815652000039	7.552069	3952640
retained	4	2	7	n-body	four-core	c	pass	0			2.976082998000038	2.973299	786432
retained	5	3	1	n-body	four-core	go	pass	0			3.599121422000053	3.603327	3690496
retained	5	3	2	n-body	four-core	rust	pass	0			3.504691929000046	3.50129	1208320
retained	5	3	3	n-body	four-core	java	pass	0			5.018861926999989	4.968973	50278400
retained	5	3	4	n-body	four-core	typerb-native	pass	0			7.870217959999991	7.868066	524288
retained	5	3	5	n-body	four-core	typerb-go	pass	0			7.536312370000019	7.550495	4071424
retained	5	3	6	n-body	four-core	c	pass	0			2.976710349999962	2.974068	786432
retained	5	3	7	n-body	four-core	cpp	pass	0			2.7404766790000394	2.737545	946176
retained	6	4	1	n-body	four-core	rust	pass	0			3.526945754999929	3.523905	1212416
retained	6	4	2	n-body	four-core	java	pass	0			4.993609374000016	4.944881	51113984
retained	6	4	3	n-body	four-core	typerb-native	pass	0			7.8693161319999945	7.866949	524288
retained	6	4	4	n-body	four-core	typerb-go	pass	0			7.572890153000003	7.587558	4075520
retained	6	4	5	n-body	four-core	c	pass	0			2.976025578999952	2.973668	786432
retained	6	4	6	n-body	four-core	cpp	pass	0			2.742737962999854	2.740087	954368
retained	6	4	7	n-body	four-core	go	pass	0			3.5988536739998835	3.604035	3923968
retained	7	5	1	n-body	four-core	java	pass	0			4.982163419000017	4.936147	51314688
retained	7	5	2	n-body	four-core	typerb-native	pass	0			7.871824607000008	7.869515	524288
retained	7	5	3	n-body	four-core	typerb-go	pass	0			7.541509819000112	7.557323	4042752
retained	7	5	4	n-body	four-core	c	pass	0			2.976083840000001	2.973518	786432
retained	7	5	5	n-body	four-core	cpp	pass	0			2.742213381000056	2.739335	962560
retained	7	5	6	n-body	four-core	go	pass	0			3.599371533000067	3.603314	3678208
retained	7	5	7	n-body	four-core	rust	pass	0			3.5361345590001747	3.532016	1208320
retained	8	6	1	n-body	four-core	typerb-native	pass	0			7.868470872999978	7.865894	524288
retained	8	6	2	n-body	four-core	typerb-go	pass	0			7.536215055999946	7.55122	4071424
retained	8	6	3	n-body	four-core	c	pass	0			2.9766105210001115	2.973605	786432
retained	8	6	4	n-body	four-core	cpp	pass	0			2.729895256000191	2.726973	933888
retained	8	6	5	n-body	four-core	go	pass	0			3.600365588999921	3.605125	3776512
retained	8	6	6	n-body	four-core	rust	pass	0			3.5126539769999	3.509473	1232896
retained	8	6	7	n-body	four-core	java	pass	0			5.020651018999843	4.978064	51822592
retained	9	7	1	n-body	four-core	typerb-go	pass	0			7.568076637999866	7.581886	4304896
retained	9	7	2	n-body	four-core	c	pass	0			2.9834989820001283	2.981087	999424
retained	9	7	3	n-body	four-core	cpp	pass	0			2.731117642000072	2.728412	954368
retained	9	7	4	n-body	four-core	go	pass	0			3.5984479130002	3.602719	3698688
retained	9	7	5	n-body	four-core	rust	pass	0			3.5019357950000085	3.498256	1212416
retained	9	7	6	n-body	four-core	java	pass	0			5.037291210999911	4.975744	42754048
retained	9	7	7	n-body	four-core	typerb-native	pass	0			7.863534851000168	7.861311	524288
retained	10	8	1	n-body	four-core	c	pass	0			2.976954502000126	2.974044	786432
retained	10	8	2	n-body	four-core	cpp	pass	0			2.732560897000212	2.730315	946176
retained	10	8	3	n-body	four-core	go	pass	0			3.598497750999968	3.603638	3690496
retained	10	8	4	n-body	four-core	rust	pass	0			3.51587957300012	3.512796	1232896
retained	10	8	5	n-body	four-core	java	pass	0			5.002068345999987	4.954093	51556352
retained	10	8	6	n-body	four-core	typerb-native	pass	0			7.872785423000096	7.870284	524288
retained	10	8	7	n-body	four-core	typerb-go	pass	0			7.5359398690000035	7.548645	4071424
retained	11	9	1	n-body	four-core	cpp	pass	0			2.7408999520000634	2.738309	962560
