phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	n-body	one-core	typerb-native	pass	0			7.861274915000024	7.858528	524288
warmup	1	0	2	n-body	one-core	typerb-go	pass	0			7.538997553999991	7.532565	3272704
warmup	1	0	3	n-body	one-core	c	pass	0			2.9765462729999967	2.973702	786432
warmup	1	0	4	n-body	one-core	cpp	pass	0			2.73249998	2.729623	950272
warmup	1	0	5	n-body	one-core	go	pass	0			3.5996623639999825	3.593077	2899968
warmup	1	0	6	n-body	one-core	rust	pass	0			3.526581980000003	3.523354	1220608
warmup	1	0	7	n-body	one-core	java	pass	0			5.082557484000006	5.015013	49283072
warmup	2	0	1	n-body	one-core	typerb-go	pass	0			7.542359183999963	7.535729	3297280
warmup	2	0	2	n-body	one-core	c	pass	0			2.976658250000014	2.973712	786432
warmup	2	0	3	n-body	one-core	cpp	pass	0			2.733015062999982	2.729654	942080
warmup	2	0	4	n-body	one-core	go	pass	0			3.5985221509999974	3.59263	2895872
warmup	2	0	5	n-body	one-core	rust	pass	0			3.5282587899999953	3.524923	1232896
warmup	2	0	6	n-body	one-core	java	pass	0			5.025824624999984	4.962513	49242112
warmup	2	0	7	n-body	one-core	typerb-native	pass	0			7.870743116999961	7.86786	524288
retained	3	1	1	n-body	one-core	c	pass	0			2.9767071350000265	2.973847	786432
retained	3	1	2	n-body	one-core	cpp	pass	0			2.7324611239999967	2.729689	962560
retained	3	1	3	n-body	one-core	go	pass	0			3.5993998619999843	3.59351	2904064
retained	3	1	4	n-body	one-core	rust	pass	0			3.49966449599998	3.496353	1216512
retained	3	1	5	n-body	one-core	java	pass	0			5.0323389710000015	4.970209	49287168
retained	3	1	6	n-body	one-core	typerb-native	pass	0			7.8781589550000035	7.87417	524288
retained	3	1	7	n-body	one-core	typerb-go	pass	0			7.537724878000006	7.53118	3272704
retained	4	2	1	n-body	one-core	cpp	pass	0			2.7312113670000144	2.728056	950272
retained	4	2	2	n-body	one-core	go	pass	0			3.601259557999981	3.594265	2895872
retained	4	2	3	n-body	one-core	rust	pass	0			3.5310457070000325	3.527558	1232896
retained	4	2	4	n-body	one-core	java	pass	0			5.055334796000011	4.987148	49283072
retained	4	2	5	n-body	one-core	typerb-native	pass	0			7.863490783000032	7.860575	524288
retained	4	2	6	n-body	one-core	typerb-go	pass	0			7.544542610000008	7.537845	3289088
retained	4	2	7	n-body	one-core	c	pass	0			2.9770719899999563	2.974079	786432
retained	5	3	1	n-body	one-core	go	pass	0			3.599286794999955	3.593338	2895872
retained	5	3	2	n-body	one-core	rust	pass	0			3.621761375999995	3.61858	1220608
retained	5	3	3	n-body	one-core	java	pass	0			5.077838818000032	5.015126	49274880
retained	5	3	4	n-body	one-core	typerb-native	pass	0			7.869033514000023	7.866185	524288
retained	5	3	5	n-body	one-core	typerb-go	pass	0			7.538339487999963	7.531619	3403776
retained	5	3	6	n-body	one-core	c	pass	0			2.9768220389999556	2.973826	786432
retained	5	3	7	n-body	one-core	cpp	pass	0			2.738061044999995	2.735012	962560
retained	6	4	1	n-body	one-core	rust	pass	0			3.499740954999993	3.496356	1204224
retained	6	4	2	n-body	one-core	java	pass	0			5.068863400999987	5.00621	49287168
retained	6	4	3	n-body	one-core	typerb-native	pass	0			7.867544303999921	7.864438	524288
retained	6	4	4	n-body	one-core	typerb-go	pass	0			7.542277641000055	7.53569	3276800
retained	6	4	5	n-body	one-core	c	pass	0			2.976101926999945	2.973471	786432
retained	6	4	6	n-body	one-core	cpp	pass	0			2.732004697999969	2.729065	962560
retained	6	4	7	n-body	one-core	go	pass	0			3.6019379100000606	3.594525	2887680
retained	7	5	1	n-body	one-core	java	pass	0			5.036713966999969	4.973334	49274880
retained	7	5	2	n-body	one-core	typerb-native	pass	0			7.866051578999986	7.86358	524288
retained	7	5	3	n-body	one-core	typerb-go	pass	0			7.540476356999989	7.53344	3284992
retained	7	5	4	n-body	one-core	c	pass	0			2.9761497439999403	2.97354	786432
retained	7	5	5	n-body	one-core	cpp	pass	0			2.732252651999943	2.729	946176
retained	7	5	6	n-body	one-core	go	pass	0			3.599451627999997	3.592967	2912256
retained	7	5	7	n-body	one-core	rust	pass	0			3.5264474619999646	3.52331	1216512
retained	8	6	1	n-body	one-core	typerb-native	pass	0			7.874139857000046	7.871298	524288
retained	8	6	2	n-body	one-core	typerb-go	pass	0			7.539655548000042	7.532944	3297280
retained	8	6	3	n-body	one-core	c	pass	0			2.9760662999999568	2.973365	786432
retained	8	6	4	n-body	one-core	cpp	pass	0			2.7333037669999385	2.729501	950272
retained	8	6	5	n-body	one-core	go	pass	0			3.5991314340000145	3.593132	2895872
retained	8	6	6	n-body	one-core	rust	pass	0			3.509964944999979	3.506951	1224704
retained	8	6	7	n-body	one-core	java	pass	0			5.0464262009999175	4.984289	49262592
retained	9	7	1	n-body	one-core	typerb-go	pass	0			7.537063746000058	7.530443	3284992
retained	9	7	2	n-body	one-core	c	pass	0			2.975998222000044	2.973316	786432
retained	9	7	3	n-body	one-core	cpp	pass	0			2.7320745900000247	2.728987	962560
retained	9	7	4	n-body	one-core	go	pass	0			3.599893071999986	3.593924	2899968
retained	9	7	5	n-body	one-core	rust	pass	0			3.507528449000006	3.503692	1212416
retained	9	7	6	n-body	one-core	java	pass	0			5.010768213999995	4.947457	49295360
retained	9	7	7	n-body	one-core	typerb-native	pass	0			7.875287576000005	7.872273	524288
retained	10	8	1	n-body	one-core	c	pass	0			2.977313357000071	2.97395	786432
retained	10	8	2	n-body	one-core	cpp	pass	0			2.7312523289999717	2.728027	970752
retained	10	8	3	n-body	one-core	go	pass	0			3.601730820999933	3.59422	2899968
retained	10	8	4	n-body	one-core	rust	pass	0			3.5337205939999876	3.530014	1216512
retained	10	8	5	n-body	one-core	java	pass	0			5.083049477000031	5.018649	49287168
retained	10	8	6	n-body	one-core	typerb-native	pass	0			7.875714081000069	7.872289	524288
retained	10	8	7	n-body	one-core	typerb-go	pass	0			7.542177290000041	7.534853	3297280
retained	11	9	1	n-body	one-core	cpp	pass	0			2.7292886569999837	2.726156	946176
retained	11	9	2	n-body	one-core	go	pass	0			3.6004324689999976	3.593817	2912256
retained	11	9	3	n-body	one-core	rust	pass	0			3.5044553739999174	3.500923	1339392
retained	11	9	4	n-body	one-core	java	pass	0			5.056248867000022	4.989058	49287168
retained	11	9	5	n-body	one-core	typerb-native	pass	0			7.8752636410000605	7.872404	524288
retained	11	9	6	n-body	one-core	typerb-go	pass	0			7.5409278289999975	7.534158	3297280
retained	11	9	7	n-body	one-core	c	pass	0			2.9790527709999424	2.974955	786432
retained	12	10	1	n-body	one-core	go	pass	0			3.5997305590000224	3.592045	2904064
retained	12	10	2	n-body	one-core	rust	pass	0			3.503898632999949	3.500449	1253376
retained	12	10	3	n-body	one-core	java	pass	0			5.091741433999914	5.023238	49410048
retained	12	10	4	n-body	one-core	typerb-native	pass	0			7.8753955219999625	7.872675	524288
