phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	four-core	typerb-native	pass	0			2.2578767490000473	2.255972	1380352
warmup	1	0	2	spectral-norm	four-core	typerb-go	pass	0			5.63737994600001	5.642347	8069120
warmup	1	0	3	spectral-norm	four-core	c	pass	0			1.7874171629999864	1.785338	962560
warmup	1	0	4	spectral-norm	four-core	cpp	pass	0			1.8390694999999369	1.836742	1224704
warmup	1	0	5	spectral-norm	four-core	go	pass	0			3.21990823200008	3.222354	4800512
warmup	1	0	6	spectral-norm	four-core	rust	pass	0			0.4644910050000135	1.801391	2502656
warmup	1	0	7	spectral-norm	four-core	java	pass	0			1.9073792860000367	1.880614	52576256
warmup	2	0	1	spectral-norm	four-core	typerb-go	pass	0			5.638675786000022	5.646428	7888896
warmup	2	0	2	spectral-norm	four-core	c	pass	0			1.7885126060000403	1.785643	958464
warmup	2	0	3	spectral-norm	four-core	cpp	pass	0			1.8406444890000557	1.837109	1212416
warmup	2	0	4	spectral-norm	four-core	go	pass	0			3.2211222070000076	3.221704	4726784
warmup	2	0	5	spectral-norm	four-core	rust	pass	0			0.4584980899999209	1.800937	2498560
warmup	2	0	6	spectral-norm	four-core	java	pass	0			1.8970796690000498	1.880678	52559872
warmup	2	0	7	spectral-norm	four-core	typerb-native	pass	0			2.2568662260000565	2.254855	1478656
retained	3	1	1	spectral-norm	four-core	c	pass	0			1.7884223659999634	1.785609	950272
retained	3	1	2	spectral-norm	four-core	cpp	pass	0			1.8404091669999616	1.836662	1216512
retained	3	1	3	spectral-norm	four-core	go	pass	0			3.2173587899999347	3.220776	4997120
retained	3	1	4	spectral-norm	four-core	rust	pass	0			0.45964188400000694	1.801236	2506752
retained	3	1	5	spectral-norm	four-core	java	pass	0			1.9026363929999661	1.880008	52617216
retained	3	1	6	spectral-norm	four-core	typerb-native	pass	0			2.2548123889999943	2.252985	1478656
retained	3	1	7	spectral-norm	four-core	typerb-go	pass	0			5.635070736999978	5.649214	8257536
retained	4	2	1	spectral-norm	four-core	cpp	pass	0			1.839164571000083	1.836646	1220608
retained	4	2	2	spectral-norm	four-core	go	pass	0			3.217598123000016	3.221151	4886528
retained	4	2	3	spectral-norm	four-core	rust	pass	0			0.4588659359999383	1.800567	2506752
retained	4	2	4	spectral-norm	four-core	java	pass	0			1.8970383799999126	1.879051	52572160
retained	4	2	5	spectral-norm	four-core	typerb-native	pass	0			2.258593268000027	2.256176	1490944
retained	4	2	6	spectral-norm	four-core	typerb-go	pass	0			5.639413548999983	5.645861	8060928
retained	4	2	7	spectral-norm	four-core	c	pass	0			1.7875151199999664	1.785471	962560
retained	5	3	1	spectral-norm	four-core	go	pass	0			3.2223706329999686	3.220405	4993024
retained	5	3	2	spectral-norm	four-core	rust	pass	0			0.470302355000058	1.80209	2498560
retained	5	3	3	spectral-norm	four-core	java	pass	0			1.9008360960000346	1.882166	52826112
retained	5	3	4	spectral-norm	four-core	typerb-native	pass	0			2.2573588869998957	2.255301	1486848
retained	5	3	5	spectral-norm	four-core	typerb-go	pass	0			5.636296696000045	5.646156	8196096
retained	5	3	6	spectral-norm	four-core	c	pass	0			1.7888678059999847	1.78556	1208320
retained	5	3	7	spectral-norm	four-core	cpp	pass	0			1.8392380889999913	1.836729	1208320
retained	6	4	1	spectral-norm	four-core	rust	pass	0			0.4593064240000331	1.801695	2469888
retained	6	4	2	spectral-norm	four-core	java	pass	0			1.9044622860000118	1.881116	52559872
retained	6	4	3	spectral-norm	four-core	typerb-native	pass	0			2.25577781100003	2.253777	1490944
retained	6	4	4	spectral-norm	four-core	typerb-go	pass	0			5.637133651999989	5.646541	7999488
retained	6	4	5	spectral-norm	four-core	c	pass	0			1.7889930549999917	1.785658	1069056
retained	6	4	6	spectral-norm	four-core	cpp	pass	0			1.8390998400000171	1.836743	1212416
retained	6	4	7	spectral-norm	four-core	go	pass	0			3.21805757300001	3.222392	4747264
retained	7	5	1	spectral-norm	four-core	java	pass	0			1.8976630039999236	1.882302	52559872
retained	7	5	2	spectral-norm	four-core	typerb-native	pass	0			2.2559649860000945	2.254018	1462272
retained	7	5	3	spectral-norm	four-core	typerb-go	pass	0			5.637829101000079	5.64703	7729152
