phase	round	retained_index	order	case	lane	candidate	verdict	returnvalue	exitsignal	terminationreason	walltime_seconds	cputime_seconds	memory_bytes
warmup	1	0	1	spectral-norm	one-core	typerb-native	pass	0			2.263743717000011	2.262148	1224704
warmup	1	0	2	spectral-norm	one-core	typerb-go	pass	0			5.63550489299999	5.630023	7454720
warmup	1	0	3	spectral-norm	one-core	c	pass	0			1.788404141000001	1.785861	1003520
warmup	1	0	4	spectral-norm	one-core	cpp	pass	0			1.839504264999988	1.836858	1216512
warmup	1	0	5	spectral-norm	one-core	go	pass	0			3.222058335000014	3.213139	4173824
warmup	1	0	6	spectral-norm	one-core	rust	pass	0			1.7991640850000294	1.795532	1720320
warmup	1	0	7	spectral-norm	one-core	java	pass	0			1.9559617669999625	1.895436	50356224
warmup	2	0	1	spectral-norm	one-core	typerb-go	pass	0			5.641094964000047	5.631165	7204864
warmup	2	0	2	spectral-norm	one-core	c	pass	0			1.7885760829999526	1.78568	958464
warmup	2	0	3	spectral-norm	one-core	cpp	pass	0			1.8415205399999763	1.837031	1216512
warmup	2	0	4	spectral-norm	one-core	go	pass	0			3.224429282000017	3.212628	4169728
warmup	2	0	5	spectral-norm	one-core	rust	pass	0			1.7998506419999671	1.796379	1716224
warmup	2	0	6	spectral-norm	one-core	java	pass	0			1.9373102139999787	1.891871	50327552
warmup	2	0	7	spectral-norm	one-core	typerb-native	pass	0			2.2554199840000138	2.252789	1449984
retained	3	1	1	spectral-norm	one-core	c	pass	0			1.7887819119999904	1.785687	1003520
retained	3	1	2	spectral-norm	one-core	cpp	pass	0			1.8402531140000065	1.837168	1216512
retained	3	1	3	spectral-norm	one-core	go	pass	0			3.220308884000019	3.213827	4206592
retained	3	1	4	spectral-norm	one-core	rust	pass	0			1.7996340020000048	1.795964	1720320
retained	3	1	5	spectral-norm	one-core	java	pass	0			1.9512595599999827	1.894641	50229248
retained	3	1	6	spectral-norm	one-core	typerb-native	pass	0			2.2623603580000236	2.259679	1490944
retained	3	1	7	spectral-norm	one-core	typerb-go	pass	0			5.63621549100003	5.631444	7200768
retained	4	2	1	spectral-norm	one-core	cpp	pass	0			1.8399933110000006	1.837027	1220608
retained	4	2	2	spectral-norm	one-core	go	pass	0			3.222442416999968	3.213497	3964928
retained	4	2	3	spectral-norm	one-core	rust	pass	0			1.799701841000001	1.795775	1720320
retained	4	2	4	spectral-norm	one-core	java	pass	0			1.942776007999953	1.894311	50577408
retained	4	2	5	spectral-norm	one-core	typerb-native	pass	0			2.256721615999993	2.254574	1486848
retained	4	2	6	spectral-norm	one-core	typerb-go	pass	0			5.634498656000005	5.629686	7196672
retained	4	2	7	spectral-norm	one-core	c	pass	0			1.7879844070000104	1.785468	942080
retained	5	3	1	spectral-norm	one-core	go	pass	0			3.220561191999991	3.212969	4214784
retained	5	3	2	spectral-norm	one-core	rust	pass	0			1.7995451979999757	1.79614	1716224
retained	5	3	3	spectral-norm	one-core	java	pass	0			1.9370940730000257	1.88787	50331648
retained	5	3	4	spectral-norm	one-core	typerb-native	pass	0			2.2567686649999814	2.254447	1478656
retained	5	3	5	spectral-norm	one-core	typerb-go	pass	0			5.637470725000014	5.629977	7204864
retained	5	3	6	spectral-norm	one-core	c	pass	0			1.7883563670000058	1.785419	946176
retained	5	3	7	spectral-norm	one-core	cpp	pass	0			1.8400078410000447	1.836984	1208320
retained	6	4	1	spectral-norm	one-core	rust	pass	0			1.7992284570000265	1.795691	1863680
retained	6	4	2	spectral-norm	one-core	java	pass	0			1.939935146000039	1.889865	50339840
